채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
고객센터,대기,대기중 상담예약서비스 안내,상담원 즉시 연결 선택/고지 기능(대기·AI 단계),고객이 AI 또는 대기 단계에서 상담원과 즉시 연결을 원한다는 요구가 반복되어 명시적 선택/고지 기능이 필요합니다.,20250218,QSN000000000003079,TAR000000005375112,ITM000000000003047,제발 AI는 패스해 주세요. 넘 짜증납니다. 국민은행이 아니라 AI은행 같아요. 국민을 위한 은행이면 좋겠어요.
고객센터,대기,대기중 상담예약서비스 안내,상담원 즉시 연결 선택/고지 기능(대기·AI 단계),고객이 AI 또는 대기 단계에서 상담원과 즉시 연결을 원한다는 요구가 반복되어 명시적 선택/고지 기능이 필요합니다.,20250218,QSN000000000003079,TAR000000005378921,ITM000000000003047,저작 필요한 상담원과는 통화를할수없음 AI는 아무데도 못씀
고객센터,대기,대기중 상담예약서비스 안내,상담원 즉시 연결 선택/고지 기능(대기·AI 단계),고객이 AI 또는 대기 단계에서 상담원과 즉시 연결을 원한다는 요구가 반복되어 명시적 선택/고지 기능이 필요합니다.,20250312,QSN000000000003079,TAR000000005807086,ITM000000000003047,상담원 연결도 안되고  첫봇상담도 정확하지않고 불편
고객센터,대기,대기중 상담예약서비스 안내,상담원 즉시 연결 선택/고지 기능(대기·AI 단계),고객이 AI 또는 대기 단계에서 상담원과 즉시 연결을 원한다는 요구가 반복되어 명시적 선택/고지 기능이 필요합니다.,20250424,QSN000000000003079,TAR000000006553771,ITM000000000003047,Ai 다음 또 Ai 또 Ai 진짜 싫어요 잘 알아듣지도 못해요
고객센터,대기,대기중 상담예약서비스 안내,상담원 즉시 연결 선택/고지 기능(대기·AI 단계),고객이 AI 또는 대기 단계에서 상담원과 즉시 연결을 원한다는 요구가 반복되어 명시적 선택/고지 기능이 필요합니다.,20250502,QSN000000000003079,TAR000000006657210,ITM000000000003047,AI상담은 구체적인 상담을 말하면 이해를 못하고 정확한 안내를 못함
고객센터,대기,대기중 상담예약서비스 안내,상담원 즉시 연결 선택/고지 기능(대기·AI 단계),고객이 AI 또는 대기 단계에서 상담원과 즉시 연결을 원한다는 요구가 반복되어 명시적 선택/고지 기능이 필요합니다.,20250508,QSN000000000003079,TAR000000006719306,ITM000000000003047,"신속하고 정확한 상담을 할수가 있어서 좋다.
AI는 정해진 답변만 할수 있어서 아직은 불편함."
고객센터,대기,대기중 상담예약서비스 안내,상담원 즉시 연결 선택/고지 기능(대기·AI 단계),고객이 AI 또는 대기 단계에서 상담원과 즉시 연결을 원한다는 요구가 반복되어 명시적 선택/고지 기능이 필요합니다.,20250226,QSN000000000003079,TAR000000005540328,ITM000000000003047,"사람과 사람간 상담을 통해 정확한 단어나 명칭을 고객이 모르더라도 상담사가 고객이 원하는 서비스를 유추해서 확인하고 답해주므로, 사람이 상담해주는 것이 더 서비스 만족도와 해결이 빠름"
고객센터,대기,대기중 상담예약서비스 안내,상담원 즉시 연결 선택/고지 기능(대기·AI 단계),고객이 AI 또는 대기 단계에서 상담원과 즉시 연결을 원한다는 요구가 반복되어 명시적 선택/고지 기능이 필요합니다.,20250212,QSN000000000003079,TAR000000005273269,ITM000000000003047,"상담할려고.  대기해야할때,     대기시간이 길어도.  확실하고. 제대로. 상당사하고. 상담할수있는것이.   좋습니다."
고객센터,대기,대기중 상담예약서비스 안내,상담원 즉시 연결 선택/고지 기능(대기·AI 단계),고객이 AI 또는 대기 단계에서 상담원과 즉시 연결을 원한다는 요구가 반복되어 명시적 선택/고지 기능이 필요합니다.,20251205,QSN000000000003079,TAR000000011272816,ITM000000000003047,Ai가 좀 어색하고 궁금한 항목을 먈하니 빠르게 상담원 연결로 전환된 듯
고객센터,대기,대기중 상담예약서비스 안내,상담원 즉시 연결 선택/고지 기능(대기·AI 단계),고객이 AI 또는 대기 단계에서 상담원과 즉시 연결을 원한다는 요구가 반복되어 명시적 선택/고지 기능이 필요합니다.,20260212,QSN000000000003192,TAR000000012854116,ITM000000000003047,결론내기가 어렵고 ai유도하면서 힘들게하는경우입니다
고객센터,대기,대기중 콜백서비스 안내,콜백 신청 시 예상 콜백 시간 구체 안내,콜백 서비스 이용 시 예상 시간을 구체적으로 알려달라는 요구가 있으며 콜백 안내의 핵심 세부 기능입니다.,20251113,QSN000000000003079,TAR000000010767559,ITM000000000003047,예상시간이 구체적이거나 내 전화번호를 남기면 콜백이 되면 좋겠다.
고객센터,대기,대기중 대체 상담채널 안내,대기 중 대체 채널 안내: 상담원 연락처 문자 자동 공유,대기 중 상담원 연락처를 문자로 자동 공유하여 대체 연락 경로를 제공하는 기능 요구가 존재합니다.,20250730,QSN000000000003079,TAR000000008523296,ITM000000000003047,왜 내가 당신들이 주는 연락처 받아 적으면서 아바타나 영업사원 마냥 힘들게 고객으로써 내 마땅한 권리를 노력해서 얻어야하나요? 진짜 쓰레기 같은 상담 시스템 좀 고치세요. 들리지도 않고 연락처 줄거면 문자로 자동 공유 하는 방법이라도 도입하거나 잘못 적으면 다시 또 힘들게 접속해서 알아내야하고 최악이에요
고객센터,대기,대기중 대체 상담채널 안내,대기 중 대체 채널 안내: 화상통화 전환 옵션,통화 중 화상통화로 전환해 신속 처리한 사례가 있어 대기·연결 단계에서 화상채널 제공이 필요합니다.,20250626,QSN000000000003079,TAR000000007737106,ITM000000000003047,통화중 화상통화하여 궁금한점 문의와 답변으로 신속하게 처리되어좋았습니다
고객센터,대기,대기음악 쾌적성,대기 중 필수 공지 멘트 속도 조절 옵션,필수 공지 멘트 속도 조절 요구는 대기 중 청취 경험의 쾌적성 개선에 직접 관련됩니다.,20250520,QSN000000000003079,TAR000000006939551,ITM000000000003047,"대기동안 반드시 해야할 일반공지내용은 좀 빨리 말했으면 좋겠고,
ARS선택시 다른곳으로 넘어감"
고객센터,대기,대기음악 쾌적성,대기 중 필수 공지 멘트 속도 조절 옵션,필수 공지 멘트 속도 조절 요구는 대기 중 청취 경험의 쾌적성 개선에 직접 관련됩니다.,20250321,QSN000000000003079,TAR000000005973495,ITM000000000003047,안내멘트 속도가 좀더빨랐으? 좋겠어요 그리고 메뉴도 좀 더 쉬운 구분이었으면
