채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
KB 스타뱅킹,통합검색,통합검색 메뉴의 시인성,통합검색 하단 챗봇 패널,검색 화면 하단에 고정된 챗봇 패널은 메뉴 요소로서 즉시 인지 가능해야 합니다.,20250409,QSN000000000003080,TAR000000006299353,ITM000000000001336,"검색에 있어서 / 틀린검색을 해도 챗봇기능등이 하단에 찾기쉽게 배치되어있고
자주 찾는 질문 F&amp;Q등을 활용하기 좋았습니다."
KB 스타뱅킹,통합검색,검색결과 메뉴 연계 편리성,통합검색 결과 내 FAQ 연계 블록,검색결과에서 FAQ로 바로 이동·참조하는 블록은 결과→콘텐츠 연계의 편의성 요소입니다.,20250409,QSN000000000003080,TAR000000006299353,ITM000000000001336,"검색에 있어서 / 틀린검색을 해도 챗봇기능등이 하단에 찾기쉽게 배치되어있고
자주 찾는 질문 F&amp;Q등을 활용하기 좋았습니다."
KB 스타뱅킹,통합검색,검색결과의 시인성,부정확 검색어 시 메뉴 가시성 저하,오타·부정확 키워드 입력 시 메뉴가 묻히는 문제는 결과 가시성 이슈입니다.,20250507,QSN000000000003080,TAR000000006688743,ITM000000000001336,정확한 검색어를 모를 경우에는 찾는 메뉴가 안 보이고 다른 Q&amp;A 답변 이 검색결과 상위에 보일 때가 있음
KB 스타뱅킹,통합검색,검색결과 메뉴 연계 편리성,검색결과/메뉴 전환 시 재로그인 방지,결과에서 다른 화면으로 이동할 때 재로그인 발생은 연계 흐름의 불편입니다.,20250414,QSN000000000003080,TAR000000006368081,ITM000000000001336,이전항목으로의 전환시 재로그인 되는 상황이좀 번거로움
KB 스타뱅킹,통합검색,검색결과 메뉴 연계 편리성,쿠폰 조회 교차앱 연동,검색결과에서 타 KB앱 쿠폰 조회로의 바로가기/연동은 교차앱 연계 편의입니다.,20250618,QSN000000000003080,TAR000000007554151,ITM000000000001336,스타뱅킹에서 받은 쿠폰을 kb의 다른 앱에서도 조회가능했음 좋겠다
KB 스타뱅킹,통합검색,,Q&A 제외 필터(메뉴 전용 결과),사용자는 필요 시 메뉴만 보이기를 원하며 불필요한 Q&A 노출을 줄이는 설정을 요구합니다.,20250915,QSN000000000003080,TAR000000009594455,ITM000000000001336,계좌정보를 입력하면 그 메뉴만 나오면 좋겠는데 쓸데없이 q&amp;a도 검색결과로 나옴
KB 스타뱅킹,통합검색,,Q&A 제외 필터(메뉴 전용 결과),사용자는 필요 시 메뉴만 보이기를 원하며 불필요한 Q&A 노출을 줄이는 설정을 요구합니다.,20251209,QSN000000000003080,TAR000000011347417,ITM000000000001336,딱 원하는 카테고리의 메뉴만 나오면 되는데 쓸데없는 Q&amp;A등이 나옴
KB 스타뱅킹,통합검색,,Q&A 제외 필터(메뉴 전용 결과),사용자는 필요 시 메뉴만 보이기를 원하며 불필요한 Q&A 노출을 줄이는 설정을 요구합니다.,20251216,QSN000000000003080,TAR000000011497407,ITM000000000001336,"다른 은행에 비해 ,,넘 만은 콘텐츠가 홈화면 장식중이기도 히고,,대부분 주거래 은행들이 있기 때문에"
KB 스타뱅킹,통합검색,검색결과 메뉴 연계 편리성,전체계좌 조회 바로가기,검색결과에서 ‘전체계좌 조회’ 화면으로 직연결되는 편의가 핵심입니다.,20251118,QSN000000000003080,TAR000000010836766,ITM000000000001336,메뉴 안에 전체계좌 조회 화면이 있는것이 좋습니다.
KB 스타뱅킹,통합검색,통합검색의 사용 편의성,검색어 자동완성,검색창 입력 지원과 자동완성 제안은 사용 효율과 오류 감소에 직결됩니다.,20251218,QSN000000000003080,TAR000000011554055,ITM000000000001336,검색어로 찾을 일이 많지는 않아서 검색어창을 별로 사용해보지 못함
KB 스타뱅킹,통합검색,통합검색의 사용 편의성,검색어 자동완성,검색창 입력 지원과 자동완성 제안은 사용 효율과 오류 감소에 직결됩니다.,20251124,QSN000000000003080,TAR000000010931118,ITM000000000001336,필요한 메뉴들이 거의 다 있어 따로 검색기능을 이용하지 않음
KB 스타뱅킹,통합검색,통합검색의 사용 편의성,검색어 자동완성,검색창 입력 지원과 자동완성 제안은 사용 효율과 오류 감소에 직결됩니다.,20260120,QSN000000000003187,TAR000000012228027,ITM000000000001336,자동완성기능이 편리합니다.  한번씩  필요한 단어가 생각나지 암ㅎ늘때 편리합니다
KB 스타뱅킹,통합검색,검색결과의 시인성,키워드 입력 시 빠른보기(요약 카드) 노출,키워드 기반으로 핵심 항목을 요약 카드로 즉시 보여주는 것은 결과 시인성 향상입니다.,20251230,QSN000000000003080,TAR000000011803203,ITM000000000001336,검색창 해당 키워드 입력시 필요항목 빠른 &lt;보기&gt;생성
KB 스타뱅킹,통합검색,통합검색의 고객지향성,개인화된 자주 사용하는 메뉴 자동 노출,즐겨찾기·자주쓰는 계좌 관리와 알고리즘 추천은 개인화된 노출로 고객지향성을 높입니다.,20251230,QSN000000000003080,TAR000000011801652,ITM000000000001336,자주쓰는 계좌관리와 이체시 복사 기능이 생겨 편리했습니다
KB 스타뱅킹,통합검색,통합검색의 고객지향성,개인화된 자주 사용하는 메뉴 자동 노출,즐겨찾기·자주쓰는 계좌 관리와 알고리즘 추천은 개인화된 노출로 고객지향성을 높입니다.,20251231,QSN000000000003080,TAR000000011805124,ITM000000000001336,자주쓰는 항목을 즐겨찾기에서 쉽게 찾을수있어 좋아요.
KB 스타뱅킹,통합검색,통합검색의 고객지향성,개인화된 자주 사용하는 메뉴 자동 노출,즐겨찾기·자주쓰는 계좌 관리와 알고리즘 추천은 개인화된 노출로 고객지향성을 높입니다.,20260102,QSN000000000003187,TAR000000011814048,ITM000000000001336,알고리즘을 적용하여 고객이 자주 이용하는 메뉴를 우선적으로 화면에 노출시켜주면 좋겠음
KB 스타뱅킹,통합검색,통합검색의 고객지향성,개인화된 자주 사용하는 메뉴 자동 노출,즐겨찾기·자주쓰는 계좌 관리와 알고리즘 추천은 개인화된 노출로 고객지향성을 높입니다.,20251230,QSN000000000003080,TAR000000011804104,ITM000000000001336,자주 사용하는 메뉴가 항상 직관적으로 생성됨 (개인적 의견)
