채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
KB 스타뱅킹,로그인/인증,로그인/인증 이용편의성,로그인 전 잔액/계좌상태 미리보기,로그인 없이 핵심 잔액·계좌상태를 확인하려는 구체 기능이 반복적으로 언급되어 실제 사용 편의에 직접 영향을 줍니다.,20250423,QSN000000000003080,TAR000000006539134,ITM000000000001321,로그인 전에 주로 사용하는 계좌잔액 먼저 확인할 수 있어서 좋아요
KB 스타뱅킹,로그인/인증,로그인/인증 이용편의성,로그인 전 잔액/계좌상태 미리보기,로그인 없이 핵심 잔액·계좌상태를 확인하려는 구체 기능이 반복적으로 언급되어 실제 사용 편의에 직접 영향을 줍니다.,20251017,QSN000000000003080,TAR000000010057985,ITM000000000001321,계좌상태 먼저 보인 후 이체 등의 작업 필요 시 로그인하게 함
KB 스타뱅킹,로그인/인증,로그인/인증 이용편의성,로그인 전 잔액/계좌상태 미리보기,로그인 없이 핵심 잔액·계좌상태를 확인하려는 구체 기능이 반복적으로 언급되어 실제 사용 편의에 직접 영향을 줍니다.,20251027,QSN000000000003080,TAR000000010327284,ITM000000000001321,접속했을때 거래전 나의잔고는 로그인하지않아도보임
KB 스타뱅킹,로그인/인증,로그인/인증 방식의 다양성,로그인 방식 선택 UI,"지문, 간편비번, ID·비번 등 다양한 인증 방식을 한 화면에서 선택할 수 있는 구체 UI는 방식 다양성 경험을 직접 제공합니다.",20251022,QSN000000000003080,TAR000000010250649,ITM000000000001321,지문 / 긴편인증  / 아이디&amp;비번 등 필요한 접속 방법을 쉽게 선택하고 접속하기에 애로 및 지연이 발생
KB 스타뱅킹,로그인/인증,로그인/인증 방식의 다양성,타행 앱 SSO 연동,타행 앱과의 단일 로그인 연동은 인증 범위를 확장하는 구체적 연동 기능으로 고객의 접근 방식을 다양화합니다.,20250804,QSN000000000003080,TAR000000008571134,ITM000000000001321,로그인 자체는 문제가 없는듯 하나 상품 햐나하나를 찾는게 조금 불편함
KB 스타뱅킹,로그인/인증,로그인/인증 방식의 다양성,타행 앱 SSO 연동,타행 앱과의 단일 로그인 연동은 인증 범위를 확장하는 구체적 연동 기능으로 고객의 접근 방식을 다양화합니다.,20250902,QSN000000000003080,TAR000000009266411,ITM000000000001321,"시간에 구애없이 이체도 할수있고
통합거래내역도 확인 할수있어서
편리합니다"
KB 스타뱅킹,로그인/인증,로그인/인증 이용편의성,인증 흐름 품질(무리 없는 로그인 경험),무리 없이 진행되는 로그인·인증 과정은 사용자가 체감하는 절차적 편의성에 대한 직접 피드백입니다.,20250403,QSN000000000003080,TAR000000006207936,ITM000000000001321,로그인 인증 불만 없으나 이것띠ㅢ문에 추천은 안하고싶다
KB 스타뱅킹,로그인/인증,로그인/인증 이용편의성,인증 흐름 품질(무리 없는 로그인 경험),무리 없이 진행되는 로그인·인증 과정은 사용자가 체감하는 절차적 편의성에 대한 직접 피드백입니다.,20250510,QSN000000000003080,TAR000000006764796,ITM000000000001321,로그인 좋은데...뭐 얘기할께 없는데 십점 아니라고 왜 적극적으로 추천하지 않느냐고 하시면...저는 좋은데..
KB 스타뱅킹,로그인/인증,로그인/인증 이용편의성,인증 흐름 품질(무리 없는 로그인 경험),무리 없이 진행되는 로그인·인증 과정은 사용자가 체감하는 절차적 편의성에 대한 직접 피드백입니다.,20250428,QSN000000000003080,TAR000000006606244,ITM000000000001321,"로그인에 불만이 없는데
뭐 딱히 다른 곳보다 특별한게 없다는
고만고만 비슷비슷"
KB 스타뱅킹,로그인/인증,로그인/인증 화면의 시인성,인증서 갱신 사전 안내 팝업,로그인 화면에서 반복 표시되는 갱신 안내 팝업은 정보 표시와 알림의 가시성 문제를 다루는 구체 터치포인트입니다.,20251106,QSN000000000003080,TAR000000010616291,ITM000000000001321,인증서 로그인으로 해놨는데 갱신 1년전부터 갱신하라고 매일 팝업 뜨는게 좀 귀찮다
KB 스타뱅킹,로그인/인증,로그인/인증 이용편의성,로그인 후 상품 퀵 링크,로그인 직후 상품으로 바로 이동하는 퀵 링크는 전환 편의성을 높이는 구체 기능입니다.,20250804,QSN000000000003080,TAR000000008571134,ITM000000000001321,로그인 자체는 문제가 없는듯 하나 상품 햐나하나를 찾는게 조금 불편함
