채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,만보기 걸음수 측정 및 캐릭터 팝업 UI,만보기의 핵심 기능(걸음수 측정)과 이를 시각화하는 캐릭터 팝업 UI는 고객이 직접 상호작용하는 동일 기능군의 구체 요소입니다.,20250610,QSN000000000003080,TAR000000007371659,ITM000000000003077,"최근에 만보기 기능을 사용 시작했는데, 팝업창에서 보여지는 곰돌이 캐릭터도 귀엽고 걸음수 확인도 숫자가 작은 편이 아니라 좋습니다."
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,만보기 걸음수 측정 및 캐릭터 팝업 UI,만보기의 핵심 기능(걸음수 측정)과 이를 시각화하는 캐릭터 팝업 UI는 고객이 직접 상호작용하는 동일 기능군의 구체 요소입니다.,20251125,QSN000000000003080,TAR000000010986253,ITM000000000003077,만보기등을 이용하여 하루의 운동량을  확인할 수 있음
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,만보기 걸음수 측정 및 캐릭터 팝업 UI,만보기의 핵심 기능(걸음수 측정)과 이를 시각화하는 캐릭터 팝업 UI는 고객이 직접 상호작용하는 동일 기능군의 구체 요소입니다.,20260126,QSN000000000003187,TAR000000012352514,ITM000000000003077,"친구와 같이 걸음수측정이
연인과 함께하기 조아요"
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,함께 걷기(가족·지인 공유),지인과 걸음 데이터를 공유·경쟁하는 명시적 기능으로 만보기의 확장 사용 경험을 직접 지칭합니다.,20250714,QSN000000000003080,TAR000000008113680,ITM000000000003077,"반보기, 함께 걷기등 가족 지인들과 함께 이용해서 좋음"
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,함께 걷기(가족·지인 공유),지인과 걸음 데이터를 공유·경쟁하는 명시적 기능으로 만보기의 확장 사용 경험을 직접 지칭합니다.,20250728,QSN000000000003080,TAR000000008431404,ITM000000000003077,건강관리 하기에 좋으며 서로공유가 되니 경쟁이 생겨 열심히 운동 하게됨
KB 스타뱅킹,콘텐츠/서비스,혜택/이벤트의 고객 지향성,혜택홈 미션형 서비스(걷기·식물키우기),혜택홈 내 명명된 미션(걷기·식물키우기)은 보상/참여형 혜택 콘텐츠로 고객이 직접 수행하는 구체 기능입니다.,20250616,QSN000000000003080,TAR000000007494902,ITM000000000003077,혜택홈이용 중입니다. 걷기 용도받기 식물키우기
KB 스타뱅킹,콘텐츠/서비스,혜택/이벤트의 고객 지향성,게임형 이벤트(룰렛·주머니 던지기),룰렛 돌리기와 주머니 던지기는 명시적 게임형 이벤트로 참여 방식과 보상 체계가 유사합니다.,20250730,QSN000000000003080,TAR000000008535142,ITM000000000003077,다양하콘테츠 이벤트가 있고 한달에한번주는 룰렛돌리기도 재미있습니다
KB 스타뱅킹,콘텐츠/서비스,혜택/이벤트의 고객 지향성,게임형 이벤트(룰렛·주머니 던지기),룰렛 돌리기와 주머니 던지기는 명시적 게임형 이벤트로 참여 방식과 보상 체계가 유사합니다.,20250827,QSN000000000003080,TAR000000009166438,ITM000000000003077,할때마다 짱나던 주머니 던지기 개편한데서 다행. 이거 첨에 기획한 사람 면담좀하자
KB 스타뱅킹,콘텐츠/서비스,혜택/이벤트의 고객 지향성,출첵·만보기 연계 상품가입 이벤트,출첵·만보기와 상품가입을 연결한 명명된 이벤트로 참여-보상-상품 유입의 구체 경험을 제공합니다.,20260113,QSN000000000003187,TAR000000012071477,ITM000000000003077,소소한 이벤트가 덕분에 삶의 활력을 얻음. 출첵 만보기 상품가입 이벤트
KB 스타뱅킹,콘텐츠/서비스,계열사 연계 편의성,영업점 방문 대기 관리(사전 예약·대기표 발행),지점 대기 신청과 앱 내 대기표 발행은 오프라인 영업점 방문을 디지털로 연계해 대기 편의를 높이는 동일 목적의 기능입니다.,20250407,QSN000000000003080,TAR000000006247214,ITM000000000003077,은행 가기 전 미리 대기 신청을 하고 순서를 알 수 있어 업장에서 오래 기다리지 않아도 되는 점이 좋아요.
KB 스타뱅킹,콘텐츠/서비스,계열사 연계 편의성,영업점 방문 대기 관리(사전 예약·대기표 발행),지점 대기 신청과 앱 내 대기표 발행은 오프라인 영업점 방문을 디지털로 연계해 대기 편의를 높이는 동일 목적의 기능입니다.,20250619,QSN000000000003080,TAR000000007585906,ITM000000000003077,우선가까이 있고 은행이용도 간편하게 예약도가능해서 편리합니다
KB 스타뱅킹,콘텐츠/서비스,계열사 연계 편의성,영업점 방문 대기 관리(사전 예약·대기표 발행),지점 대기 신청과 앱 내 대기표 발행은 오프라인 영업점 방문을 디지털로 연계해 대기 편의를 높이는 동일 목적의 기능입니다.,20260114,QSN000000000003187,TAR000000012105919,ITM000000000003077,앱을 통한 대기표 발행으로 은행 대기 시간을 줄일수 있다.
KB 스타뱅킹,콘텐츠/서비스,계열사 연계 편의성,카드·통장 없는 ATM 현금 인출,앱을 통해 실물 매체 없이 ATM에서 인출하는 구체 기능으로 디지털-오프라인 채널 연계를 직접 제공합니다.,20260122,QSN000000000003187,TAR000000012304784,ITM000000000003077,"요즘 지갑을 안갖고 다니죠? 휴대폰만 들고 다니는데, 현금이 필요해 인출이 필요할때 kb스타뱅킹 이용하여 카드나 통장 없이도 atm기 인출이 가능한게 너무 편하고 꼭 필요한 서비스라 느꼈습니다"
