채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
상품,저축성,부가서비스의 적합성,이체·ATM 수수료 면제 혜택,고객이 타행 이체와 제휴 ATM 수수료 면제를 명시적으로 요구/언급하여 수수료 면제 혜택이 핵심 부가서비스로 인식됩니다.,20250220,QSN000000000003080,TAR000000005433920,ITM000000000001358,이체 수수료 면제도 되어서 감사하게 잘사용중입니다
상품,저축성,부가서비스의 적합성,이체·ATM 수수료 면제 혜택,고객이 타행 이체와 제휴 ATM 수수료 면제를 명시적으로 요구/언급하여 수수료 면제 혜택이 핵심 부가서비스로 인식됩니다.,20250523,QSN000000000003080,TAR000000007012038,ITM000000000001353,수수료가 많은것은 아니지만 그래도 면제를 시켜준다는것은 소소하지만 좋습니다
상품,저축성,부가서비스의 적합성,이체·ATM 수수료 면제 혜택,고객이 타행 이체와 제휴 ATM 수수료 면제를 명시적으로 요구/언급하여 수수료 면제 혜택이 핵심 부가서비스로 인식됩니다.,20251217,QSN000000000003074,TAR000000011505595,ITM000000000001737,거래내역 금액 조건이 맞으면 타은행 수수료가 면제된다고 들었다
상품,저축성,부가서비스의 적합성,이체·ATM 수수료 면제 혜택,고객이 타행 이체와 제휴 ATM 수수료 면제를 명시적으로 요구/언급하여 수수료 면제 혜택이 핵심 부가서비스로 인식됩니다.,20260220,QSN000000000003187,TAR000000012959001,ITM000000000001348,다른 atm기기에서도 수수료 면제 받을 수 있다는 것이 좋았습니다
상품,저축성,부가서비스의 적합성,이체·ATM 수수료 면제 혜택,고객이 타행 이체와 제휴 ATM 수수료 면제를 명시적으로 요구/언급하여 수수료 면제 혜택이 핵심 부가서비스로 인식됩니다.,20260227,QSN000000000003191,TAR000000013176659,ITM000000000001737,수수료 면제 부분과 페이를 사용할슈 있는 네트워크가 넓음
상품,저축성,예적금상품 다양성,다통화 외화 통장(통합 계좌 기능),다양한 외화를 한 통장에서 관리하는 통합 기능 및 외화거래 전용 통장 수요가 명시되어 상품 라인업 확장이 필요합니다.,20250226,QSN000000000003074,TAR000000005533685,ITM000000000001737,"환율 우대율, 다양한 통화를 한 통장으로 이용 가능"
상품,저축성,예적금상품 다양성,다통화 외화 통장(통합 계좌 기능),다양한 외화를 한 통장에서 관리하는 통합 기능 및 외화거래 전용 통장 수요가 명시되어 상품 라인업 확장이 필요합니다.,20260129,QSN000000000003187,TAR000000012467178,ITM000000000001348,다양한 외화를 한통장으로 이용할 수 있어서 매우 편리함
상품,저축성,예적금상품 다양성,다통화 외화 통장(통합 계좌 기능),다양한 외화를 한 통장에서 관리하는 통합 기능 및 외화거래 전용 통장 수요가 명시되어 상품 라인업 확장이 필요합니다.,20250827,QSN000000000003074,TAR000000009151103,ITM000000000001737,외화거래 통장이 한국의 예금자보호법으로 보호   되니까 좋습니다.
상품,저축성,상품조건의 적절성,압류 보호/생계비 전용 통장,압류 방지 및 생계비 보호 목적의 전용 통장은 보호 조건과 한도 등 특정 상품조건이 핵심입니다.,20250715,QSN000000000003074,TAR000000008146644,ITM000000000001737,압류방지통장을 지인에게 어떻게 권해요? 그런 일이 생기면 안되지요. 헌데 만들어야 한다면 국민은행.
상품,저축성,상품조건의 적절성,압류 보호/생계비 전용 통장,압류 방지 및 생계비 보호 목적의 전용 통장은 보호 조건과 한도 등 특정 상품조건이 핵심입니다.,20260203,QSN000000000003191,TAR000000012599193,ITM000000000001737,통장마다 압류 생계비통장이 생겨서 살것같아서 좋습니다.
상품,저축성,상품조건의 적절성,압류 보호/생계비 전용 통장,압류 방지 및 생계비 보호 목적의 전용 통장은 보호 조건과 한도 등 특정 상품조건이 핵심입니다.,20260214,QSN000000000003187,TAR000000012874386,ITM000000000001348,선택한 이유보다 통장의 계좌이름이 비상시 생계비 계좌를 계설하야 필요시 통장을 복사하여 회사에 제줄하는 가입자들이 통장 사본 계죄명에 &apos;KB생계비계좌&apos;가 암시하는 신용상의 문제가 있는 신용불량자를 직간접적으로 알려주는 상품 이름으로 추천하고 싶지 않는 비추천함.
상품,저축성,상품조건의 적절성,압류 보호/생계비 전용 통장,압류 방지 및 생계비 보호 목적의 전용 통장은 보호 조건과 한도 등 특정 상품조건이 핵심입니다.,20260224,QSN000000000003191,TAR000000013015205,ITM000000000001737,통장개설은 혹시나 있을 차압등으로부터 연금을. 보호하기 위한것임
상품,저축성,상품조건의 적절성,안심통장(고령층 실수 방지형),고령층의 실수 방지 설계를 갖춘 안심통장은 사용 제한/검증 절차 등 조건 설계가 핵심입니다.,20251110,QSN000000000003074,TAR000000010672905,ITM000000000001737,국민을위한 안심통장 이름그대로 안심이되는통장
상품,저축성,상품조건의 적절성,안심통장(고령층 실수 방지형),고령층의 실수 방지 설계를 갖춘 안심통장은 사용 제한/검증 절차 등 조건 설계가 핵심입니다.,20260130,QSN000000000003191,TAR000000012505018,ITM000000000001737,노후의 실수를 줄이는 가장 합리적인 안심통장으로서 노령화시대에 맞는 이라고 봅니다.
상품,저축성,부가서비스의 적합성,모임통장 및 멤버 투명조회 기능,모임 구성원이 공동 관리하고 멤버가 계좌를 투명하게 확인하는 기능은 모임 운영에 특화된 부가서비스입니다.,20260123,QSN000000000003187,TAR000000012328578,ITM000000000001348,모임통장으로 인해서 같이 해서 투명성이 좋아서 적극추천요
상품,저축성,부가서비스의 적합성,모임통장 및 멤버 투명조회 기능,모임 구성원이 공동 관리하고 멤버가 계좌를 투명하게 확인하는 기능은 모임 운영에 특화된 부가서비스입니다.,20260209,QSN000000000003187,TAR000000012729042,ITM000000000001348,모임원들이 모두 계좌 확인할 수 있어 투명성이 좋음
상품,저축성,부가서비스의 적합성,모임통장 및 멤버 투명조회 기능,모임 구성원이 공동 관리하고 멤버가 계좌를 투명하게 확인하는 기능은 모임 운영에 특화된 부가서비스입니다.,20260209,QSN000000000003187,TAR000000012725687,ITM000000000001348,"아직 미사용
모임 멤버 투명하고 신뢰갈것 같아요"
상품,저축성,부가서비스의 적합성,국민연금 연계 상품/이벤트,국민연금 전용 통장 및 가입 연계 이벤트는 연계 혜택/편의 제공 성격의 부가서비스로 인식됩니다.,20251110,QSN000000000003074,TAR000000010671214,ITM000000000001737,국민연금 가입 이벤트를 진행한다는 사실과 주후 진행되는 것을 보면서 지인에게 권할수 있을 것 같습니다
상품,저축성,부가서비스의 적합성,국민연금 연계 상품/이벤트,국민연금 전용 통장 및 가입 연계 이벤트는 연계 혜택/편의 제공 성격의 부가서비스로 인식됩니다.,20251229,QSN000000000003074,TAR000000011754156,ITM000000000001737,국민연금 전용통장으로 안전하게 사용할 수 있습니다
상품,저축성,부가서비스의 적합성,예금 특판/이벤트 프로모션,기간 한정 특판 및 예금 이벤트는 혜택 중심의 프로모션으로 고객 유입/만족에 직접 영향을 줍니다.,20251208,QSN000000000003080,TAR000000011302713,ITM000000000001358,이번에 예금특판 상품에 처음 가입했는데 생각보다 괜찮아 보이는 상품 이었음
상품,저축성,부가서비스의 적합성,예금 특판/이벤트 프로모션,기간 한정 특판 및 예금 이벤트는 혜택 중심의 프로모션으로 고객 유입/만족에 직접 영향을 줍니다.,20260116,QSN000000000003187,TAR000000012158066,ITM000000000001358,국민은행 예금 이벤트행사 있어서 너무좋아요 이번에 예금가입했는데 당첨되면 얼마나 좋을까요~♥
상품,저축성,상품 가입 편리성,계좌번호 커스터마이즈(맞춤번호·전화번호 전환),기억 쉬운 계좌번호 부여 및 전화번호로 변경 기능은 식별·공유 편의성을 높이는 가입/사용 편의 기능입니다.,20250723,QSN000000000003074,TAR000000008325545,ITM000000000001737,기억하기 쉬운 계좌번호를 요청했고 만족하는 번호를 받아 쉽게 자주 사용할 수 있게 되었어요.
