채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
KB 스타뱅킹,홈화면,홈화면을 통한 메뉴 진입 신속성,홈화면 메뉴 검색 기능,사용자가 메뉴를 찾기 위해 검색을 활용한다는 VOC는 홈에서 빠르게 원하는 메뉴로 이동하는 핵심 수단임을 보여줍니다.,20250211,QSN000000000003080,TAR000000005245676,ITM000000000001326,메뉴가 직관적이지 않아서 검색해서 찾는 경우가 더 많다
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 연결성 ,홈화면 상품·서비스 바로가기 배너(내맘대로 적금/일대일동영상대출),특정 상품·서비스로 즉시 이동하는 홈 배너/바로가기는 홈 콘텐츠에서 상세로 연결되는 핵심 터치포인트입니다.,20250217,QSN000000000003080,TAR000000005337931,ITM000000000001326,"저는 매월 내맘대로 적금으로
금리보다는 1년뒤 매월 받는 목돈받을
적금씩으로 5개월째 가입하고있는데
꾸준히 매월 한구좌씩 넣으려고 하고있어요.
은행에 방문하지않고 폰으로 직접 가입할수있어서 좋았습니다"
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 연결성 ,홈화면 상품·서비스 바로가기 배너(내맘대로 적금/일대일동영상대출),특정 상품·서비스로 즉시 이동하는 홈 배너/바로가기는 홈 콘텐츠에서 상세로 연결되는 핵심 터치포인트입니다.,20250221,QSN000000000003080,TAR000000005458720,ITM000000000001326,일대일동영상대출은처음인데너무좋은것같습니다.강추합니다.
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 고객 지향성,홈화면 계좌/이체 별명 설정 진입,계좌 및 이체 별명 설정은 고객 맞춤 편의를 높이는 기능으로 홈에서 쉽게 접근 가능해야 합니다.,20250206,QSN000000000003080,TAR000000005165813,ITM000000000001326,계좌설정 시 별명 작성 불가 및 이체 별명도 작성 불가
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 다양성,홈화면 이벤트 배너·경품 안내 섹션,이벤트·경품 안내는 정보·참여 유도의 다양한 콘텐츠를 홈에서 제공하는 요소입니다.,20250702,QSN000000000003080,TAR000000007862644,ITM000000000001326,이벤트도 많고 선물도 받아봤어요 진짜 주더라구요 ㅎㅎ
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 연결성 ,홈화면 비대면 처리(지점 방문 없이) 원스톱 안내 영역,비대면 처리 가능한 업무 리스트로 상세 프로세스로 연결되는 홈 안내 영역입니다.,20250204,QSN000000000003080,TAR000000005101673,ITM000000000001326,지점에 가지 않더라도 왠만한건 처리할수 있어서.....
KB 스타뱅킹,홈화면,홈화면을 통한 메뉴 진입 신속성,홈화면 통합메뉴 진입,통합메뉴는 다양한 기능으로의 빠른 경로를 제공하는 핵심 진입점입니다.,20250818,QSN000000000003080,TAR000000008911310,ITM000000000001326,"아까 적은 통합메뉴 내용 및 컨텐츠때문이죠
korea bank kb국민은행"
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 시인성,홈화면 계좌 정보 한눈보기(계좌 동시 보기/전체 계좌 확인 버튼),계좌를 한 화면에서 명확히 확인하는 기능은 정보 시인성과 가독성을 높입니다.,20251128,QSN000000000003080,TAR000000011091875,ITM000000000001326,"뭔가 조잡한 느낌, 직관적이지 않은 듯한 느낌, 보고 싶은 여러 계좌를 동시에 보는 기능을 모르겠음"
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 시인성,홈화면 계좌 정보 한눈보기(계좌 동시 보기/전체 계좌 확인 버튼),계좌를 한 화면에서 명확히 확인하는 기능은 정보 시인성과 가독성을 높입니다.,20251013,QSN000000000003080,TAR000000009901741,ITM000000000001326,"은행앱에 통장 잔고 확인이나 이체 같은 기본적인 이유로 로그인하는데 부잡스럽다. 전체 계좌 확인 버튼도 작아서 또 눌러서 이동해야하는 번거로움 있다.
리뉴얼 전 이전 화면이 백만배 낫다."
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 시인성,홈화면 계좌 정보 한눈보기(계좌 동시 보기/전체 계좌 확인 버튼),계좌를 한 화면에서 명확히 확인하는 기능은 정보 시인성과 가독성을 높입니다.,20251120,QSN000000000003080,TAR000000010900807,ITM000000000001326,"메인화면 구식 00년대 같은 느낌
전체적인 계좌확인하려면 찾아 들어가야함
컨텐츠가 복잡하고 느림
토스나 k뱅은 광고봐도 복잡하다고 느껴지지않을 정도로 쾌적함
요즘 다른은행도 쾌적하게 만들려고 노력하는거같은데 kb는 그런게 없음.. 분발하셔야할듯."
