채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
영업점,내점/방문,객장안내의 원활성,VIP 라운지/VIP실 운영 및 이용 서비스,점포 내 특정 VIP 전용 공간과 그 운영·응대·편의 제공이 고객경험에 직접 영향을 주는 구체 접점입니다.,20250108,QSN000000000003074,TAR000000004665116,ITM000000000001707,간단하게 VIP실로 가면 모든 업무를 처리해 준다.
영업점,내점/방문,객장안내의 원활성,VIP 라운지/VIP실 운영 및 이용 서비스,점포 내 특정 VIP 전용 공간과 그 운영·응대·편의 제공이 고객경험에 직접 영향을 주는 구체 접점입니다.,20250109,QSN000000000003074,TAR000000004697868,ITM000000000001707,오랜시간 단골영업점이며 VIP실에서 완벽하게 일처리를 해주셔서 입니다.
영업점,내점/방문,객장안내의 원활성,VIP 라운지/VIP실 운영 및 이용 서비스,점포 내 특정 VIP 전용 공간과 그 운영·응대·편의 제공이 고객경험에 직접 영향을 주는 구체 접점입니다.,20250113,QSN000000000003074,TAR000000004759177,ITM000000000001707,Vip라운지도 하염없이 대기시킴. 10억 단기예금도 무슨 ?기듯 만기 당일   불쑥전화해서 계속 영상으로 전화시키며 연장시키더니.이번에는 그냥전화 예금만기도 불쾌한 느낌듬. 고객관리를하려면.좀 시간여유두고좀하세요
영업점,내점/방문,객장안내의 원활성,VIP 라운지/VIP실 운영 및 이용 서비스,점포 내 특정 VIP 전용 공간과 그 운영·응대·편의 제공이 고객경험에 직접 영향을 주는 구체 접점입니다.,20250117,QSN000000000003074,TAR000000004863290,ITM000000000001707,"신속한 업무처리에 넘 감사했습니다.
은행 일반업무와 VIP라운지 운영 등,
효율적인 고객관리 업무운명 잘하신다고
생각이 들어집니다. 감사합니다."
영업점,내점/방문,객장안내의 원활성,VIP 라운지/VIP실 운영 및 이용 서비스,점포 내 특정 VIP 전용 공간과 그 운영·응대·편의 제공이 고객경험에 직접 영향을 주는 구체 접점입니다.,20250117,QSN000000000003074,TAR000000004866401,ITM000000000001707,"고객응대에 문제가 많은 것같습니다.
특히 대출 관련 담당자는 마치 갑인듯..
요즘에 보기 드문 처신에 당황스러웠습니다.
Vip룸도 마찬가진 것같습니다.
자꾸만 은행이 멀어지는 느낌입니다."
영업점,내점/방문,객장안내의 원활성,VIP 라운지/VIP실 운영 및 이용 서비스,점포 내 특정 VIP 전용 공간과 그 운영·응대·편의 제공이 고객경험에 직접 영향을 주는 구체 접점입니다.,20250123,QSN000000000003074,TAR000000004956475,ITM000000000001707,다른 지점들보다 라운지 이용 공간이 잘 되어 있는 거 같았습니다
영업점,내점/방문,객장안내의 원활성,VIP 라운지/VIP실 운영 및 이용 서비스,점포 내 특정 VIP 전용 공간과 그 운영·응대·편의 제공이 고객경험에 직접 영향을 주는 구체 접점입니다.,20250214,QSN000000000003074,TAR000000005312486,ITM000000000001707,"VIP 라운지 이용이 용이하지 않고
담당직원이 없으면 대체직원도 없이 운영한다"
영업점,내점/방문,객장안내의 원활성,VIP 라운지/VIP실 운영 및 이용 서비스,점포 내 특정 VIP 전용 공간과 그 운영·응대·편의 제공이 고객경험에 직접 영향을 주는 구체 접점입니다.,20250308,QSN000000000003074,TAR000000005709615,ITM000000000001707,Vip실이왜있는지  전혀고객에대한배려가전혀없는vip실은 전적으로고객을 무시한자고생각합니다.본인식사시간이라고  한번도아니고 매번본인만생각하는vip실은 없어야 마땅합니다.그런자리에앉아있는사람을  배정한국민은행인사발령하는사람들의 생각이 의심스럽습니다.
영업점,내점/방문,객장안내의 원활성,VIP 라운지/VIP실 운영 및 이용 서비스,점포 내 특정 VIP 전용 공간과 그 운영·응대·편의 제공이 고객경험에 직접 영향을 주는 구체 접점입니다.,20250401,QSN000000000003074,TAR000000006121182,ITM000000000001707,일반 창구와 VIP 라운지의 층이 다르게 있어 대기할 때에 시끄러움이 덜하여 좋았어요.
영업점,내점/방문,객장안내의 원활성,VIP 라운지/VIP실 운영 및 이용 서비스,점포 내 특정 VIP 전용 공간과 그 운영·응대·편의 제공이 고객경험에 직접 영향을 주는 구체 접점입니다.,20250410,QSN000000000003074,TAR000000006308969,ITM000000000001707,"예금 창구에서 대기 시간이 길고 특히 남성직원이 업무처리가 상당히 늦어서 남은 창구 하나로 처리해야되서
고객대기 시간이 길어짐  한참 있다가 윗층에 vip창구
직원이 내려  와서 커버해줘서 저희는 업무 정기예금 만기연장 마치고 내려와서 보니까  그 남직원이 아직도 그 손님과 계속 업무 하고 있었습니다
남직원시 신속 업무처리 능력이 부족해 보입니다
손님은 많은데 창구 2개로 가동했고 그나마 한개는 남직원이 너무 시간 잡아서  아무튼 마치고 나가는데 기분이 좋지 않았습니다"
