채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
영업점,대기,대기정보 안내의 적절성,입구 안내 인력/청원경찰 초기 동선·업무 안내 서비스,입구에서 고객 목적 파악과 동선 안내를 제공하는 인력 기반 안내가 반복 언급되어 초기 대기정보 제공의 핵심 채널로 작동합니다.,20250114,QSN000000000003074,TAR000000004777962,ITM000000000001712,입구보안대원의 친절한 대응으로 알기쉬웠습니다 상담창구직원님도 친절하시구요
영업점,대기,대기정보 안내의 적절성,입구 안내 인력/청원경찰 초기 동선·업무 안내 서비스,입구에서 고객 목적 파악과 동선 안내를 제공하는 인력 기반 안내가 반복 언급되어 초기 대기정보 제공의 핵심 채널로 작동합니다.,20250217,QSN000000000003074,TAR000000005354032,ITM000000000001712,입구 청원경찰분이 업무에대한것을 물어보시고 친절하게 해 주셨습니다
영업점,대기,대기정보 안내의 적절성,입구 안내 인력/청원경찰 초기 동선·업무 안내 서비스,입구에서 고객 목적 파악과 동선 안내를 제공하는 인력 기반 안내가 반복 언급되어 초기 대기정보 제공의 핵심 채널로 작동합니다.,20250219,QSN000000000003074,TAR000000005393540,ITM000000000001712,문을 열고 들어가는 순간부터 직워의 친절한 안내를  받아서 기분 좋았습니다.
영업점,대기,대기정보 안내의 적절성,입구 안내 인력/청원경찰 초기 동선·업무 안내 서비스,입구에서 고객 목적 파악과 동선 안내를 제공하는 인력 기반 안내가 반복 언급되어 초기 대기정보 제공의 핵심 채널로 작동합니다.,20250220,QSN000000000003074,TAR000000005425360,ITM000000000001712,번호표 발행 도와주신 안내직원분께서 친절하셨습니다.
영업점,대기,대기정보 안내의 적절성,입구 안내 인력/청원경찰 초기 동선·업무 안내 서비스,입구에서 고객 목적 파악과 동선 안내를 제공하는 인력 기반 안내가 반복 언급되어 초기 대기정보 제공의 핵심 채널로 작동합니다.,20250227,QSN000000000003074,TAR000000005570475,ITM000000000001712,청원 경찰분이 문앞에서 잘 알려주셔서 도움이 되었습니다
영업점,대기,대기정보 안내의 적절성,입구 안내 인력/청원경찰 초기 동선·업무 안내 서비스,입구에서 고객 목적 파악과 동선 안내를 제공하는 인력 기반 안내가 반복 언급되어 초기 대기정보 제공의 핵심 채널로 작동합니다.,20250321,QSN000000000003074,TAR000000005970321,ITM000000000001712,청원근무하시는 분이 친절히 안내해주셔서 편했습니다.
영업점,대기,대기정보 안내의 적절성,입구 안내 인력/청원경찰 초기 동선·업무 안내 서비스,입구에서 고객 목적 파악과 동선 안내를 제공하는 인력 기반 안내가 반복 언급되어 초기 대기정보 제공의 핵심 채널로 작동합니다.,20250322,QSN000000000003074,TAR000000005966475,ITM000000000001712,청원보안직원님께서 빠른 동선으로 안내해주셨어요!감사합니다.
영업점,대기,대기정보 안내의 적절성,입구 안내 인력/청원경찰 초기 동선·업무 안내 서비스,입구에서 고객 목적 파악과 동선 안내를 제공하는 인력 기반 안내가 반복 언급되어 초기 대기정보 제공의 핵심 채널로 작동합니다.,20250425,QSN000000000003074,TAR000000006572211,ITM000000000001712,청원경찰(?)의 친절한 인사와 설명이 최고였습니다.
영업점,대기,대기정보 안내의 적절성,입구 안내 인력/청원경찰 초기 동선·업무 안내 서비스,입구에서 고객 목적 파악과 동선 안내를 제공하는 인력 기반 안내가 반복 언급되어 초기 대기정보 제공의 핵심 채널로 작동합니다.,20250512,QSN000000000003074,TAR000000006776017,ITM000000000001712,청원경찰분의 친절한 안내와 서비스에 만족했습니다.
영업점,대기,대기정보 안내의 적절성,입구 안내 인력/청원경찰 초기 동선·업무 안내 서비스,입구에서 고객 목적 파악과 동선 안내를 제공하는 인력 기반 안내가 반복 언급되어 초기 대기정보 제공의 핵심 채널로 작동합니다.,20250424,QSN000000000003074,TAR000000006549008,ITM000000000001712,청원경찰의 과도한 친절로인하 불필요한 질문에 의한 불편함
