채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
고객센터,보이는ARS,연결 편의성,AI 상담 전환/상담원 직접 연결 안내 화면,AI에서 불편 시 사람 상담으로 빠르게 전환되는 명확한 안내 화면이 실제 접점으로 반복 언급됨.,20250214,QSN000000000003079,TAR000000005321953,ITM000000000003036,상담원과 연결 되고 나서는 문제도 잘 해결되고 좋았으나 ai상담은 정말 별로였어요
고객센터,보이는ARS,연결 편의성,AI 상담 전환/상담원 직접 연결 안내 화면,AI에서 불편 시 사람 상담으로 빠르게 전환되는 명확한 안내 화면이 실제 접점으로 반복 언급됨.,20250219,QSN000000000003079,TAR000000005402254,ITM000000000003036,AI의 친절하고 명확한 질문으로 이해하기가 쉬웠습니다
고객센터,보이는ARS,연결 편의성,AI 상담 전환/상담원 직접 연결 안내 화면,AI에서 불편 시 사람 상담으로 빠르게 전환되는 명확한 안내 화면이 실제 접점으로 반복 언급됨.,20250225,QSN000000000003079,TAR000000005511315,ITM000000000003036,이렇게 귀찮게 글을 쓰는 이유야 뻔한거  아니겠습니까. 돈 아낀다고 AI 같은거 쓰지말고 인력을 늘립시다. 말귀도 못알아먹는걸 가지고 무슨 상담입니까. 간단한 내용 정도나 되는거지 이용자들은 급하고 바쁜데 속만 뒤집어집니다.
고객센터,보이는ARS,연결 편의성,AI 상담 전환/상담원 직접 연결 안내 화면,AI에서 불편 시 사람 상담으로 빠르게 전환되는 명확한 안내 화면이 실제 접점으로 반복 언급됨.,20250808,QSN000000000003079,TAR000000008717417,ITM000000000003036,AI상담은  불편하였는데  상담원은  빨리알아들어서좋음
고객센터,보이는ARS,연결 편의성,AI 상담 전환/상담원 직접 연결 안내 화면,AI에서 불편 시 사람 상담으로 빠르게 전환되는 명확한 안내 화면이 실제 접점으로 반복 언급됨.,20250811,QSN000000000003079,TAR000000008763621,ITM000000000003036,Ai이. 서비스보다 이해할 수. 있게. 알려주었다
고객센터,보이는ARS,메뉴구성 적절성,AI 상담 질문 단계·흐름 설계,AI의 질문 흐름과 설문 단계 진행 로직은 단계 구성의 적절성에 직결되는 구체 기능임.,20250219,QSN000000000003079,TAR000000005402254,ITM000000000003036,AI의 친절하고 명확한 질문으로 이해하기가 쉬웠습니다
고객센터,보이는ARS,메뉴구성 적절성,AI 상담 질문 단계·흐름 설계,AI의 질문 흐름과 설문 단계 진행 로직은 단계 구성의 적절성에 직결되는 구체 기능임.,20250225,QSN000000000003079,TAR000000005511315,ITM000000000003036,이렇게 귀찮게 글을 쓰는 이유야 뻔한거  아니겠습니까. 돈 아낀다고 AI 같은거 쓰지말고 인력을 늘립시다. 말귀도 못알아먹는걸 가지고 무슨 상담입니까. 간단한 내용 정도나 되는거지 이용자들은 급하고 바쁜데 속만 뒤집어집니다.
고객센터,보이는ARS,메뉴구성 적절성,AI 상담 질문 단계·흐름 설계,AI의 질문 흐름과 설문 단계 진행 로직은 단계 구성의 적절성에 직결되는 구체 기능임.,20250214,QSN000000000003079,TAR000000005321953,ITM000000000003036,상담원과 연결 되고 나서는 문제도 잘 해결되고 좋았으나 ai상담은 정말 별로였어요
고객센터,보이는ARS,메뉴구성 적절성,AI 상담 질문 단계·흐름 설계,AI의 질문 흐름과 설문 단계 진행 로직은 단계 구성의 적절성에 직결되는 구체 기능임.,20250327,QSN000000000003079,TAR000000006050355,ITM000000000003036,보이는 건 안써봤는데 설문이 선택 안하면 안넘어가지길래 누름
고객센터,보이는ARS,연결 편의성,인증센터 접속/인증 연장 안내 링크·화면,인증센터 연결과 인증 연장 절차 안내 화면은 특정 목적지로의 연결·안내 기능임.,20250115,QSN000000000003079,TAR000000004817966,ITM000000000003036,인증센타접속후 인증연장과정을관리 할수있게 잘설명함
고객센터,보이는ARS,메뉴이동의 신속성,콜백/상담 예약 단축 버튼·단축키 고지,콜백·예약 기능의 단축 입력과 빠른 접근 경로는 신속한 이동을 위한 구체 기능임.,20250116,QSN000000000003079,TAR000000004844730,ITM000000000003036,"바쁠때는 손가락으로 눌러서 하는게
짜증날때도 있는데  친절하게 응대해줘서
좋았습니다"
고객센터,보이는ARS,메뉴이동의 신속성,콜백/상담 예약 단축 버튼·단축키 고지,콜백·예약 기능의 단축 입력과 빠른 접근 경로는 신속한 이동을 위한 구체 기능임.,20250722,QSN000000000003079,TAR000000008297642,ITM000000000003036,원하는 사항을 말로하니 바로 연결이 돼서 좋았습니다.
고객센터,보이는ARS,메뉴이동의 신속성,콜백/상담 예약 단축 버튼·단축키 고지,콜백·예약 기능의 단축 입력과 빠른 접근 경로는 신속한 이동을 위한 구체 기능임.,20250829,QSN000000000003079,TAR000000009222656,ITM000000000003036,직접 방문하지 않아도 이용자 편한 시간대에 상담할수 있다는점
고객센터,보이는ARS,연결 편의성,보이는 ARS 음성 인식 기반 메뉴 접속/운전 중 음성 지원,음성 인식으로 메뉴 접속 및 운전 중 사용 지원은 물리적 제약 하의 접근 편의 기능임.,20250502,QSN000000000003079,TAR000000006660313,ITM000000000003036,음성인식이 편해서. 항상 보이는 상담은 종료함.
고객센터,보이는ARS,연결 편의성,보이는 ARS 음성 인식 기반 메뉴 접속/운전 중 음성 지원,음성 인식으로 메뉴 접속 및 운전 중 사용 지원은 물리적 제약 하의 접근 편의 기능임.,20250512,QSN000000000003079,TAR000000006794477,ITM000000000003036,상담메뉴를 접속할때 음성으로 인식해주는게 편리함
고객센터,보이는ARS,연결 편의성,보이는 ARS 음성 인식 기반 메뉴 접속/운전 중 음성 지원,음성 인식으로 메뉴 접속 및 운전 중 사용 지원은 물리적 제약 하의 접근 편의 기능임.,20250423,QSN000000000003079,TAR000000006526259,ITM000000000003036,하나하나 읽고 클릭하는것보단 음성으로 듣고 하는게 이해도도 빠르다.
고객센터,보이는ARS,연결 편의성,보이는 ARS 음성 인식 기반 메뉴 접속/운전 중 음성 지원,음성 인식으로 메뉴 접속 및 운전 중 사용 지원은 물리적 제약 하의 접근 편의 기능임.,20250513,QSN000000000003079,TAR000000006807778,ITM000000000003036,"저는 음성으로 하는것이 좋아 귀찮아도
음성 서비스로 합니다"
고객센터,보이는ARS,연결 편의성,보이는 ARS 음성 인식 기반 메뉴 접속/운전 중 음성 지원,음성 인식으로 메뉴 접속 및 운전 중 사용 지원은 물리적 제약 하의 접근 편의 기능임.,20250721,QSN000000000003079,TAR000000008277048,ITM000000000003036,전화 통화를 하는 이유는 운전중에도 필요한 상담을 받기 위한것인데요. 화면을 보고 하는 경우는 운전중에서는 사용을 못합니다. 음성 인식 기능도 있었으면 합니다.
고객센터,보이는ARS,연결 편의성,상담원의 문자·동영상 안내 발송 및 간단답변 연동,문자/동영상 링크 발송과 문자 연동 간단답변은 채널 간 연계로 안내를 제공하는 기능임.,20250307,QSN000000000003079,TAR000000005721571,ITM000000000003036,상담원님의 동영상과 문자로 보내주신부분이 이해가쏙쏙되었습니다.
고객센터,보이는ARS,연결 편의성,상담원의 문자·동영상 안내 발송 및 간단답변 연동,문자/동영상 링크 발송과 문자 연동 간단답변은 채널 간 연계로 안내를 제공하는 기능임.,20251013,QSN000000000003079,TAR000000009950239,ITM000000000003036,문자는 간단명료하게 질문한것에 대한 답을  알기쉽게 전달해주기 때문에.
고객센터,보이는ARS,메뉴명의 명확성,AI 응답 가능 범위 사전 고지,AI의 답변 범위를 명확히 고지하는 것은 기능 한계를 메뉴/라벨로 명확히 안내하는 요소임.,20250307,QSN000000000003079,TAR000000005721942,ITM000000000003036,상담원에게 대출 이제확인증발급을 질문 하려 하였으나 Ai상담원은 질문 답변 하지 못 하였다
고객센터,보이는ARS,메뉴명의 명확성,AI 응답 가능 범위 사전 고지,AI의 답변 범위를 명확히 고지하는 것은 기능 한계를 메뉴/라벨로 명확히 안내하는 요소임.,20250318,QSN000000000003079,TAR000000005904013,ITM000000000003036,AI상담원은 상품 설명 등을 하고 질문에 대한답을 이해못함
