채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
KB 스타뱅킹,상품관리/해지,상품관리/해지 서비스의 접근성,상품 화면 접근성 패키지(VoiceOver·돋보기 확대 지원),화면리더와 확대 기능은 상품관리/해지 화면 이용의 접근성을 직접 개선하는 구체 기능입니다.,20250807,QSN000000000003080,TAR000000008696096,ITM000000000001416,iPhone에 VoiceOver로 사용하기 편해서
KB 스타뱅킹,상품관리/해지,상품관리/해지 서비스의 접근성,상품 화면 접근성 패키지(VoiceOver·돋보기 확대 지원),화면리더와 확대 기능은 상품관리/해지 화면 이용의 접근성을 직접 개선하는 구체 기능입니다.,20251210,QSN000000000003080,TAR000000011381619,ITM000000000001416,돋보기 기능을 이용하면 아주 간단하고 쉽게 업무를 볼 수 있었음.
KB 스타뱅킹,상품관리/해지,상품관리/해지 프로세스 적절성,비대면 상품/계좌 전환 처리(처리기간 안내 포함),앱 내 상품·계좌 전환을 처리하고 소요기간을 안내하는 것은 전환 프로세스의 적정성과 명확성을 높이는 핵심 기능입니다.,20250911,QSN000000000003080,TAR000000009553286,ITM000000000001416,근래에 기존 청약통장을 청년드림청약통장으로 전환하는데 처리가 빨라 좋았던 경험이 있었음
KB 스타뱅킹,상품관리/해지,상품관리/해지 프로세스 적절성,비대면 상품/계좌 전환 처리(처리기간 안내 포함),앱 내 상품·계좌 전환을 처리하고 소요기간을 안내하는 것은 전환 프로세스의 적정성과 명확성을 높이는 핵심 기능입니다.,20260213,QSN000000000003187,TAR000000012880353,ITM000000000001416,"너무느림 . 상담원들은 친절함
업무량 많다고 오래걸린다는데
업무량 많으면 사람을 많이 ?으면 좋겠음
푼돈이어도 하루하루 이자가 다른데
적어도 10일 걸린다고 위에서 그렇게 지시 내려왓다고 갑자기 그렇게 오래 걸린다고 하다니 어느은행이 상품 옮기는데 10일이나 걸리는지"
KB 스타뱅킹,상품관리/해지,상품관리/해지 서비스의 다양성,정기예금 가입기간 ‘일 단위’ 커스텀 설정,개월 외 일 단위 기간 설정은 상품 가입 옵션의 세부 선택 폭을 넓히는 구체 기능입니다.,20250102,QSN000000000003080,TAR000000004508773,ITM000000000001416,"정기예금 시 가입기간이 개월수로만 설정하게 되어 있어 매우 불편함. 날짜까지 설정할 수 있게 고객 중심의 서비스가 필수임.
예를 들면 가입기간이 5개월16일, 3개월20일  등으로 고객이 원하는 가입기간을 설정할 수 있어야 함.
21세기에 은행 편의주의적으로 고객을 무시한 배부른 경영을 하는 은행은 종국에는 고객으로 부터 외면당할 것임.
설문조사만 하지 말고 어떻게 고객의 의견이 반영되었는지 결과를 알려주어야 함."
KB 스타뱅킹,상품관리/해지,상품관리/해지 프로세스 적절성,장기미이용 이체 잠금 간편 해제,잠금 해제 절차 간소화는 관리/해지 단계의 인증·해제 프로세스 품질을 반영합니다.,20250812,QSN000000000003080,TAR000000008814619,ITM000000000001416,"장기미이용 이체 잠금도 간편히 풀리고
몇년전에 사용햇던 계좌도 활성화 시키기 쉬웠다."
KB 스타뱅킹,상품관리/해지,상품관리/해지 서비스의 접근성,미사용 메뉴 설문 건너뛰기 옵션,불필요한 문항을 스킵하는 옵션은 화면 흐름의 접근성과 이용 편의성을 향상시키는 구체 기능입니다.,20251121,QSN000000000003080,TAR000000010923255,ITM000000000001416,이용하지 않으 서비스에 대한 질문은 건너뛰는 기능이 있었으면 함. 어제 가입한 사람이 뭘 얼마나 써 보ㅓㅆ다고 모든 메뉴를 묻는지....
KB 스타뱅킹,상품관리/해지,상품관리/해지 서비스의 정보충분성,계좌이체 메모 글자수 확대(10자→20자),메모 입력 한도 확대는 거래 관련 정보를 더 충분히 기재하도록 해 정보충분성을 높입니다.,20251127,QSN000000000003080,TAR000000011063912,ITM000000000001416,계좌이체시 글자제한10자에서 20자로 변경요청
KB 스타뱅킹,상품관리/해지,상품관리/해지 알람 서비스,금융쿠폰 재가입 유효기간 알림/연장 정책,쿠폰 만료 전 안내 및 기간 연장 정책은 해지 후 혜택의 적기 사용을 돕는 알림·정책 기능입니다.,20251204,QSN000000000003080,TAR000000011249507,ITM000000000001416,"해지 후에 주는 금융쿠폰 기간이 아쉽네요
항상 그 기간이 지난 뒤에야 재가입을해서
혜택을 거의 못봄"
KB 스타뱅킹,상품관리/해지,상품관리/해지 서비스의 접근성,영업소 담당자 연결·알림 서비스(앱 내 연동),앱 내에서 담당자와 연결되고 알림을 받는 기능은 상품관리 단계의 접근 경로를 확장하는 구체 터치포인트입니다.,20251215,QSN000000000003080,TAR000000011431434,ITM000000000001416,전화는 자주 못 받지만 관리하는 영업소에서 연락이 옴
KB 스타뱅킹,상품관리/해지,상품관리/해지에 따른 관리유용성,목표달성 자동설정·변경 기능,자동 설정·변경은 관리 단계의 편의성과 유용성을 직접 높이는 기능입니다.,20260109,QSN000000000003187,TAR000000011964342,ITM000000000001416,목표달성 자동설정 &amp; 변경기능이 편리했음
KB 스타뱅킹,상품관리/해지,상품관리/해지 프로세스 적절성,기존 통장 자동연결(잔액 처리/연동 계좌 매핑),해지/전환 시 기존 계좌로 자동 매핑해 잔액을 처리하는 기능은 프로세스의 자연스러움과 적절성을 개선합니다.,20251229,QSN000000000003080,TAR000000011737624,ITM000000000001416,저연스럽게 기존 통장으로 연결이 되기 때문이다.
KB 스타뱅킹,상품관리/해지,상품관리/해지 서비스의 정보충분성,상품가입·관리·해지 통합 안내 화면,단일 화면에서 단계별 정보와 서비스를 통합 제공해 고객의 이해와 의사결정을 돕습니다.,20260128,QSN000000000003187,TAR000000012433439,ITM000000000001416,"상품가입, 관리 및 해지 등을 위한 정보와 서비스 제공."
