채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250107,QSN000000000003080,TAR000000004653224,ITM000000000001410,만기 시 수령금액등 미리 계산해줘서 아주 편리합니다.
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250108,QSN000000000003080,TAR000000004681256,ITM000000000001410,"가입금액, 가입기간선택시 만기시 예상금액 제시 필요"
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250402,QSN000000000003080,TAR000000006181133,ITM000000000001410,만기예상 금액조회되니 성취동기가 생겨서 그 상품을 잘 유지할 것 같다
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250407,QSN000000000003080,TAR000000006256356,ITM000000000001410,타은행은 가입시 금액입력하면 예상 금액이 다 계산되서 가입시 확인가능한데 당사는 그게 안되네요
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250414,QSN000000000003080,TAR000000006375157,ITM000000000001410,"가입 금액과 금이넣으면 해지예상금액이 안뜸
이와별개로 그냥 상품금리가 낮음 상품성이 없어서"
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250418,QSN000000000003080,TAR000000006462891,ITM000000000001410,"이건 미리 앞에도 얘기함 만기예상이나 이런거...건의함..
개선 할거면 묻지말고 그냥 개선하세요.
카카오를 보고 배우면 됩니다..
만기 이자 모아가는 이자 직관적 먼가 재미 요소..
이런 어려운 시국에 우체국 아니면 kb한테는 엄청난 기회인데.. 왜 안하나요?? 이런거 조사할 시간에 이자좀 더주면 좋을듯 합니다.^^"
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250519,QSN000000000003080,TAR000000006915549,ITM000000000001410,금융상품 가입후 예상해지금액을 날짜별로 조회할 수 있어 편리합니다
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250602,QSN000000000003080,TAR000000007224847,ITM000000000001410,돈을 꾸준히 저축한 경우의 해지예상금액 조회도 가능했으면 좋겠다
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250609,QSN000000000003080,TAR000000007339985,ITM000000000001410,고객별로 우대금리 적용되는 만기예상금액을 알 수 있음
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250618,QSN000000000003080,TAR000000007563786,ITM000000000001410,기간이 ㄲ.ㅌ난후 받을수 있는 금액계산이 되어 편리해서
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250620,QSN000000000003080,TAR000000007612594,ITM000000000001410,바로 이자계산해주고 자동으로 금액별로 구분해주어서 좋았습니다.
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250711,QSN000000000003080,TAR000000008097146,ITM000000000001410,상품별 기간과 금액 입력시 예상 만기액 조회가 좋았음
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250804,QSN000000000003080,TAR000000008570641,ITM000000000001410,만기 예상 금액이 보여져서 따로 계산하지 않아도 되어 좋음
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250825,QSN000000000003080,TAR000000009068276,ITM000000000001410,새로운 상품이 생겨난걸 잘 모르고 그냥 했던 상품 그대로 이용을 했었는데 여러가지 상품을 한눈에 볼수 있어서 좋았고 특히 이자율을 적용해서 만기시 금액까지 알수 있어 편했음
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250916,QSN000000000003080,TAR000000009645463,ITM000000000001410,만기예상금액을 제공해주니 많은 도움이 됩니다~^^
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20250916,QSN000000000003080,TAR000000009648821,ITM000000000001410,상품에 따라 받을 수있는 예상금액? 이 뜰때가 있는데  그렇지 않은 경우가 있어서.
KB 스타뱅킹,상품가입,가입정보 안내의 충분성,만기예상 금액 실시간 표시/조회 기능,고객이 가입 전·중에 만기 예상 금액을 즉시 확인하려는 니즈가 반복적으로 제기되었습니다.,20251015,QSN000000000003080,TAR000000010033563,ITM000000000001410,적금 가입 시 만기 예상 계산이 다른 곳보다 눈에 잘 들어옴
