채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
고객센터,버튼식ARS,메뉴이동의 신속성,상담원 즉시 연결 원터치 버튼,상담원 연결을 즉시 수행하는 단일 버튼은 고객이 원하는 빠른 연결을 직접 제공하는 핵심 터치포인트입니다.,20250325,QSN000000000003079,TAR000000006023092,ITM000000000003029,상담원 빠른 연결과 상담원의 다양한 지식 습득으로 인한 Q&amp;A 진행이 빠름
고객센터,버튼식ARS,메뉴이동의 신속성,상담원 즉시 연결 원터치 버튼,상담원 연결을 즉시 수행하는 단일 버튼은 고객이 원하는 빠른 연결을 직접 제공하는 핵심 터치포인트입니다.,20251230,QSN000000000003079,TAR000000011793075,ITM000000000003029,"상담원 연결이. 필요해서 전화를 해도 연결이 안되요 수회 시도해도 어려워서. 포기했어요
상담원과 통화할 내용이 있고. ARS나 챗봇과. 할것이 구분되는데. 연결이 안되니 답답합니다
전화번호 남기는 기능은 없는가요"
고객센터,버튼식ARS,메뉴이동의 신속성,상담원 즉시 연결 원터치 버튼,상담원 연결을 즉시 수행하는 단일 버튼은 고객이 원하는 빠른 연결을 직접 제공하는 핵심 터치포인트입니다.,20250205,QSN000000000003079,TAR000000005123016,ITM000000000003029,구체적으로 설명해야할 경우가 왕왕 있는데 채봇에 명사로만 말해서 연결해야되고 연결될 경우도 원하는 설명이 아닌 경우가 많아 답답했음. 상담원연결 대기시간도 넘 길어서 지침
고객센터,버튼식ARS,메뉴이동의 신속성,상담원 즉시 연결 원터치 버튼,상담원 연결을 즉시 수행하는 단일 버튼은 고객이 원하는 빠른 연결을 직접 제공하는 핵심 터치포인트입니다.,20250212,QSN000000000003079,TAR000000005271823,ITM000000000003029,AI나 챗봇은 내가 원하는 상담내용을 디테일하게 이해하지 못하고..형식적인 답변만 해서
고객센터,버튼식ARS,메뉴이동의 신속성,상담원 즉시 연결 원터치 버튼,상담원 연결을 즉시 수행하는 단일 버튼은 고객이 원하는 빠른 연결을 직접 제공하는 핵심 터치포인트입니다.,20250219,QSN000000000003079,TAR000000005402597,ITM000000000003029,챗봇과의 상담이 구체적이지 않아 내가 원하는 상담이 이루워지지 않았음
고객센터,버튼식ARS,메뉴이동의 신속성,상담원 즉시 연결 원터치 버튼,상담원 연결을 즉시 수행하는 단일 버튼은 고객이 원하는 빠른 연결을 직접 제공하는 핵심 터치포인트입니다.,20250701,QSN000000000003079,TAR000000007812949,ITM000000000003029,"사람이 상담한거랑 AI는 틀리다
다양한 질문에 대답을 못한다"
고객센터,버튼식ARS,메뉴이동의 신속성,상담원 즉시 연결 원터치 버튼,상담원 연결을 즉시 수행하는 단일 버튼은 고객이 원하는 빠른 연결을 직접 제공하는 핵심 터치포인트입니다.,20250701,QSN000000000003079,TAR000000007817751,ITM000000000003029,AI로 대체 못할 물음을 바로 알아맞추는 센스가 좋습니다.
고객센터,버튼식ARS,메뉴이동의 신속성,상담원 즉시 연결 원터치 버튼,상담원 연결을 즉시 수행하는 단일 버튼은 고객이 원하는 빠른 연결을 직접 제공하는 핵심 터치포인트입니다.,20250716,QSN000000000003079,TAR000000008190209,ITM000000000003029,"무엇보다 예전보다 많이 친절상담
Ai상담은 절대적 반대
고령자에 한하여 너무불편..."
고객센터,버튼식ARS,메뉴이동의 신속성,상담원 즉시 연결 원터치 버튼,상담원 연결을 즉시 수행하는 단일 버튼은 고객이 원하는 빠른 연결을 직접 제공하는 핵심 터치포인트입니다.,20250717,QSN000000000003079,TAR000000008217445,ITM000000000003029,쳇북은 설명을 해도 계속 똑갇은 내용을 발송하고 아직 이혜 못하고 있다고 반복 응답
고객센터,버튼식ARS,메뉴이동의 신속성,상담원 즉시 연결 원터치 버튼,상담원 연결을 즉시 수행하는 단일 버튼은 고객이 원하는 빠른 연결을 직접 제공하는 핵심 터치포인트입니다.,20250717,QSN000000000003079,TAR000000008218867,ITM000000000003029,상담원 연결이든 챗봇이든 디테일한 안내와 상담내용이 제한적인건 아쉽다
