채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
KB 스타뱅킹,금융상품몰,상품 추천의 적정성,금리/금융쿠폰 통합 관리 및 적용 안내 모듈(자동등록·선택·발급/마감·수령 경로),쿠폰 제공·적용·수령·상태 안내가 일관되게 요구되어 혜택 추천·적용의 신뢰성과 적정성을 높이는 핵심 기능입니다.,20250121,QSN000000000003080,TAR000000004938819,ITM000000000001342,금융 쿠폰 사용이 어렵게 되어있고 있는 쿠폰이 자동 등록되지 않으며 선택할수 있는 곳도 없다.
KB 스타뱅킹,금융상품몰,상품 추천의 적정성,금리/금융쿠폰 통합 관리 및 적용 안내 모듈(자동등록·선택·발급/마감·수령 경로),쿠폰 제공·적용·수령·상태 안내가 일관되게 요구되어 혜택 추천·적용의 신뢰성과 적정성을 높이는 핵심 기능입니다.,20250425,QSN000000000003080,TAR000000006583151,ITM000000000001342,"쿠폰에 뭐가 안되는지 안써있어서 몇번을반복함
안정형엔 못쓴다고 공지해주던가요"
KB 스타뱅킹,금융상품몰,상품 추천의 적정성,금리/금융쿠폰 통합 관리 및 적용 안내 모듈(자동등록·선택·발급/마감·수령 경로),쿠폰 제공·적용·수령·상태 안내가 일관되게 요구되어 혜택 추천·적용의 신뢰성과 적정성을 높이는 핵심 기능입니다.,20250521,QSN000000000003080,TAR000000006975538,ITM000000000001342,쿠폰이 있길래 쓰고 싶었는데 사용방법이 명확히 설명되지 않고 사용조건도 까다로움
KB 스타뱅킹,금융상품몰,상품 추천의 적정성,금리/금융쿠폰 통합 관리 및 적용 안내 모듈(자동등록·선택·발급/마감·수령 경로),쿠폰 제공·적용·수령·상태 안내가 일관되게 요구되어 혜택 추천·적용의 신뢰성과 적정성을 높이는 핵심 기능입니다.,20250909,QSN000000000003080,TAR000000009475803,ITM000000000001342,정기예금 이율이나 금리쿠폰이 너무 약하고 낮아서
KB 스타뱅킹,금융상품몰,상품 추천의 적정성,금리/금융쿠폰 통합 관리 및 적용 안내 모듈(자동등록·선택·발급/마감·수령 경로),쿠폰 제공·적용·수령·상태 안내가 일관되게 요구되어 혜택 추천·적용의 신뢰성과 적정성을 높이는 핵심 기능입니다.,20251203,QSN000000000003080,TAR000000011212029,ITM000000000001342,금리쿠폰을 받자마자 클릭했는데..벌써 마감이라고 해서..허탈..
KB 스타뱅킹,금융상품몰,상품 추천의 적정성,금리/금융쿠폰 통합 관리 및 적용 안내 모듈(자동등록·선택·발급/마감·수령 경로),쿠폰 제공·적용·수령·상태 안내가 일관되게 요구되어 혜택 추천·적용의 신뢰성과 적정성을 높이는 핵심 기능입니다.,20251110,QSN000000000003080,TAR000000010659857,ITM000000000001342,예금 가입 시 우대쿠폰 등 적용될때가 있어서 유용하게 사용한 기억이 있습니다
KB 스타뱅킹,금융상품몰,상품 추천의 적정성,금리/금융쿠폰 통합 관리 및 적용 안내 모듈(자동등록·선택·발급/마감·수령 경로),쿠폰 제공·적용·수령·상태 안내가 일관되게 요구되어 혜택 추천·적용의 신뢰성과 적정성을 높이는 핵심 기능입니다.,20260121,QSN000000000003187,TAR000000012258127,ITM000000000001342,"금리우대쿠폰 어케받냐?
직원통해서만 받는거면 그렇다고 적어두던가
아님 받는 방법을 명시해줘야지
우대쿠폰이 있다만 적어두면 고객이 퀘스트 마냥 그거 찾아가야 하는건가?"
KB 스타뱅킹,금융상품몰,상품 가입화면 진입의 원활성,예금 만기 처리 자동화 옵션(자동해지 입금/자동 재가입 선택),만기 시 처리 로직을 고객이 선택·이해할 수 있게 하는 자동화 옵션은 가입·만기 경험의 핵심 기능입니다.,20250204,QSN000000000003080,TAR000000005032406,ITM000000000001342,요즘 정기예금을 폰으로 하고 있는데  간단하고 자동해지 되어 입금 되는 것도 신기하고 참 편리하게 쓰고 있습니다.
KB 스타뱅킹,금융상품몰,상품 가입화면 진입의 원활성,예금 만기 처리 자동화 옵션(자동해지 입금/자동 재가입 선택),만기 시 처리 로직을 고객이 선택·이해할 수 있게 하는 자동화 옵션은 가입·만기 경험의 핵심 기능입니다.,20250311,QSN000000000003080,TAR000000005784936,ITM000000000001342,가입 해지가 간편하고 자동으로 되는것들이 잘 되어있습니다
KB 스타뱅킹,금융상품몰,상품 가입화면 진입의 원활성,예금 만기 처리 자동화 옵션(자동해지 입금/자동 재가입 선택),만기 시 처리 로직을 고객이 선택·이해할 수 있게 하는 자동화 옵션은 가입·만기 경험의 핵심 기능입니다.,20251125,QSN000000000003080,TAR000000010997804,ITM000000000001342,다른데는 예금만기시 자동 해지되는데 자동가입되서 좋았슴
