채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
고객센터,챗봇상담,서비스 접근성,챗봇 음성입력 비공개 모드 및 텍스트 전환 버튼,소음·주변 노출로 음성 사용이 어려운 상황에서 프라이버시 보호와 즉시 텍스트로 전환할 수 있는 옵션은 접근성을 크게 높입니다.,20250619,QSN000000000003079,TAR000000007580335,ITM000000000003049,말로 하라는거 너무 열받음.  난 내 통화내용을 주변에 알리고 싶지 않아요. 생각이 없나요?
고객센터,챗봇상담,서비스 접근성,챗봇 음성입력 비공개 모드 및 텍스트 전환 버튼,소음·주변 노출로 음성 사용이 어려운 상황에서 프라이버시 보호와 즉시 텍스트로 전환할 수 있는 옵션은 접근성을 크게 높입니다.,20250802,QSN000000000003079,TAR000000008557711,ITM000000000003049,음성으로 필요한 부분을 말해야해서 여럿이 있는 사무실에서 민망하고 불편
고객센터,챗봇상담,서비스 접근성,챗봇 음성입력 비공개 모드 및 텍스트 전환 버튼,소음·주변 노출로 음성 사용이 어려운 상황에서 프라이버시 보호와 즉시 텍스트로 전환할 수 있는 옵션은 접근성을 크게 높입니다.,20250807,QSN000000000003079,TAR000000008690209,ITM000000000003049,외부에서 통화시 다른 주변소음이 조금이라도 들어가면 말을 이해하지 못합니다.
고객센터,챗봇상담,서비스 접근성,챗봇 음성입력 비공개 모드 및 텍스트 전환 버튼,소음·주변 노출로 음성 사용이 어려운 상황에서 프라이버시 보호와 즉시 텍스트로 전환할 수 있는 옵션은 접근성을 크게 높입니다.,20250903,QSN000000000003079,TAR000000009355301,ITM000000000003049,제 목소리가 좀 어눌한 것도 있지만 저음으로 말하니 잘 알아듣지 못했고 그렇다고 대출같은 걸 큰소리로 말하기에는 주변 사람들이 신경쓰이고... 좀 그랬습니다.
고객센터,챗봇상담,서비스 접근성,챗봇 음성입력 비공개 모드 및 텍스트 전환 버튼,소음·주변 노출로 음성 사용이 어려운 상황에서 프라이버시 보호와 즉시 텍스트로 전환할 수 있는 옵션은 접근성을 크게 높입니다.,20250909,QSN000000000003079,TAR000000009474548,ITM000000000003049,"말로 대답을 하라는데, 주변 환경이 외부였어서 눈치보여서 다른곳으로 피해서 말을 한 후에 서비스를 받아볼 수 있었어서 불편했습니다"
고객센터,챗봇상담,서비스 접근성,챗봇 음성입력 비공개 모드 및 텍스트 전환 버튼,소음·주변 노출로 음성 사용이 어려운 상황에서 프라이버시 보호와 즉시 텍스트로 전환할 수 있는 옵션은 접근성을 크게 높입니다.,20250317,QSN000000000003079,TAR000000005891926,ITM000000000003049,업무중 통화시 음성으로 얘기하는것이 불편할 수 있음
고객센터,챗봇상담,UI 심미성,모바일 신분증 재촬영 가이드 및 자동 보정,촬영 가이드와 밝기·각도·반사 제거 자동 보정은 이미지 품질과 인식 성공률을 높이는 시각·촬영 UI 개선 사항입니다.,20250509,QSN000000000003079,TAR000000006750713,ITM000000000003049,모바일할때 면허증 재촬영사진을 왜 이렇게 어렵게 해놨는지? 불끄고 사진찍어도 안되고ㅠㅠ
고객센터,챗봇상담,UI 심미성,모바일 신분증 재촬영 가이드 및 자동 보정,촬영 가이드와 밝기·각도·반사 제거 자동 보정은 이미지 품질과 인식 성공률을 높이는 시각·촬영 UI 개선 사항입니다.,20250721,QSN000000000003079,TAR000000008276937,ITM000000000003049,신분증 등록시 인식 부분 문제 상담받음 상담원친절히 안내해줌
고객센터,챗봇상담,답변 신속성,지점 콜백 예약·확약 및 SLA 알림,콜백 확약과 예상 연락 시각·지연 알림 제공은 응답 지연 체감을 줄이고 신속한 커뮤니케이션을 보장합니다.,20250905,QSN000000000003079,TAR000000009415274,ITM000000000003049,마곡나루지점 직원이 콜백해주겠다고 했는데 몇 번이나 재요청한 후에야 겨우 받음
고객센터,챗봇상담,답변 신속성,지점 콜백 예약·확약 및 SLA 알림,콜백 확약과 예상 연락 시각·지연 알림 제공은 응답 지연 체감을 줄이고 신속한 커뮤니케이션을 보장합니다.,20251212,QSN000000000003079,TAR000000011406383,ITM000000000003049,군산종합금융지점 2일 동안 20통 넘게 전화 안받음 콜센터 통해 연결도 마찬가지 연락처 남겼으나 연락 없음
고객센터,챗봇상담,답변 신속성,지점 콜백 예약·확약 및 SLA 알림,콜백 확약과 예상 연락 시각·지연 알림 제공은 응답 지연 체감을 줄이고 신속한 커뮤니케이션을 보장합니다.,20260121,QSN000000000003192,TAR000000012290430,ITM000000000003049,상담사 다른 지점에서 연락을 준다고 했는데 연락도 없고 계속 기다리는것이 너무 힘듭니다 고객에 문자라도 줘서 언제 연락 드리겠다고 했으면 좋겠습니다
고객센터,챗봇상담,의도파악 정확성,자유질의 처리 모드(정형 템플릿 탈피),정형 템플릿을 벗어난 자유질의를 정확히 처리하면 사용자의 의도를 더 잘 파악할 수 있습니다.,20251014,QSN000000000003079,TAR000000009976317,ITM000000000003049,"경험있는데
잘 못 알아들어요..
정해진 질문과 답변으로만 형성되어 있는 듯요"
고객센터,챗봇상담,의도파악 정확성,자유질의 처리 모드(정형 템플릿 탈피),정형 템플릿을 벗어난 자유질의를 정확히 처리하면 사용자의 의도를 더 잘 파악할 수 있습니다.,20250116,QSN000000000003079,TAR000000004846767,ITM000000000003049,상담원이 아닌 쳇봇 관련 시스템을 잘 모르겠습니다.
고객센터,챗봇상담,의도파악 정확성,자유질의 처리 모드(정형 템플릿 탈피),정형 템플릿을 벗어난 자유질의를 정확히 처리하면 사용자의 의도를 더 잘 파악할 수 있습니다.,20250602,QSN000000000003079,TAR000000007216546,ITM000000000003049,"챗봇 상담은 시기상조라는 생각이 든다.
개선점이 너무많음"
고객센터,챗봇상담,답변 정확성,상담원 연결 전 대화 요약·키워드 자동 전달,핵심 요약과 키워드 자동 전달은 상담원이 상황을 정확히 파악해 보다 정확한 답변을 제공하도록 돕습니다.,20250711,QSN000000000003079,TAR000000008088056,ITM000000000003049,상담원 과의 대화가 편했어요~ 은행의 복잡한문제해결에는
