조사방식	채널	고객경험단계	서비스품질요소	고객경험요소
TD	고객센터	보이는ARS	메뉴구성 적절성	메뉴 깊이의 최적화
TD	고객센터	보이는ARS	메뉴구성 적절성	최다 이용 메뉴의 초기 배치
TD	고객센터	보이는ARS	메뉴구성 적절성	화면 내 메뉴 수량의 적정성
TD	고객센터	보이는ARS	메뉴구성 적절성	상담원 연결 버튼의 가시성
TD	고객센터	보이는ARS	메뉴구성 적절성	이전/메인 화면 복귀 편의성
TD	고객센터	보이는ARS	메뉴구성 개인화	최근 이용 메뉴의 우선 노출
TD	고객센터	보이는ARS	메뉴구성 개인화	주요 메뉴 우선 배치 적절성
TD	고객센터	보이는ARS	메뉴구성 개인화	금융 거래 패턴 기반 메뉴 제공
TD	고객센터	보이는ARS	메뉴구성 개인화	개인 계좌 정보의 명확한 제시
TD	고객센터	보이는ARS	메뉴구성 개인화	선호 메뉴 설정 기능 제공
TD	고객센터	보이는ARS	메뉴명의 명확성	직관적이고 쉬운 메뉴명 사용
TD	고객센터	보이는ARS	메뉴명의 명확성	메뉴명 길이의 적정성
TD	고객센터	보이는ARS	메뉴명의 명확성	메뉴명과 실제 업무의 일치
TD	고객센터	보이는ARS	메뉴명의 명확성	핵심 키워드의 명확한 포함
TD	고객센터	보이는ARS	메뉴명의 명확성	이콘과 메뉴명의 일치성
TD	고객센터	보이는ARS	메뉴이동의 신속성	화면 로딩 속도의 안정성
TD	고객센터	보이는ARS	메뉴이동의 신속성	터치 입력 후 시스템 응답 속도
TD	고객센터	보이는ARS	메뉴이동의 신속성	잦은 오류 및 튕김 현상 방지
TD	고객센터	보이는ARS	메뉴이동의 신속성	통신 환경에 따른 속도 최적화
TD	고객센터	보이는ARS	메뉴이동의 신속성	불필요한 음성 안내의 생략
TD	고객센터	직원상담	대기양해 멘트	대기 예상 시 사전양해 요청
TD	고객센터	직원상담	대기양해 멘트	대기 사유의 정확한 고지
TD	고객센터	직원상담	대기양해 멘트	장시간 대기 시 중간 안내
TD	고객센터	직원상담	대기양해 멘트	대기에 대한 감사 표현
TD	고객센터	직원상담	대기양해 멘트	대기 중 고객 질문 응대
TD	고객센터	챗봇상담	UI 심미성	대화창 디자인의 깔끔함
TD	고객센터	챗봇상담	UI 심미성	답변 메시지의 시각적 구성
TD	고객센터	챗봇상담	UI 심미성	메뉴/버튼의 직관성
TD	고객센터	챗봇상담	UI 심미성	가상 인물의 친근감
TD	고객센터	챗봇상담	UI 심미성	텍스트 가독성 및 폰트 크기
TD	고객센터	콜봇상담	음성품질 안정성	콜봇 음성의 명료성 및 음질
TD	고객센터	콜봇상담	음성품질 안정성	음성 합성(TTS)의 자연스러움
TD	고객센터	콜봇상담	음성품질 안정성	고객 발화의 음성 인식 정확도
TD	고객센터	콜봇상담	음성품질 안정성	배경 소음 및 통화 환경 대응
TD	고객센터	콜봇상담	음성품질 안정성	음성 안내 속도의 적정성
TD	고객센터	콜봇상담	의도파악 정확성	복합/모호 질문 처리 능력
TD	고객센터	콜봇상담	의도파악 정확성	사투리 및 억양 처리 능력
TD	고객센터	콜봇상담	의도파악 정확성	동의어 및 축약어 처리 능력
TD	고객센터	콜봇상담	의도파악 정확성	연속 대화의 맥락 유지
TD	고객센터	콜봇상담	의도파악 정확성	불분명 의도에 대한 재확인
TD	고객센터	콜봇상담	답변 신속성	고객 발화 후 응답 소요 시간
TD	고객센터	콜봇상담	답변 신속성	지연 없는 연속 대화 처리
TD	고객센터	콜봇상담	답변 신속성	콜봇 성능 및 서버 안정성
TD	고객센터	콜봇상담	답변 신속성	답변 멘트 길이의 적정성
TD	고객센터	콜봇상담	답변 신속성	불필요한 음성/안내의 생략
TD	고객센터	콜봇상담	답변 정확성	문의 내용과의 일치도
TD	고객센터	콜봇상담	답변 정확성	최신 정보 및 규정 반영
TD	고객센터	콜봇상담	답변 정확성	답변 출처의 신뢰성 명확화
TD	고객센터	콜봇상담	답변 정확성	불가능한 요청에 대한 명확한 설명
TD	고객센터	콜봇상담	답변 정확성	관련 업무/대안 정보의 구두 제공
TD	고객센터	콜봇상담	자연스러운 대화	일상 언어 및 구어체
TD	고객센터	콜봇상담	자연스러운 대화	감성적 표현 및 공감 능력
TD	고객센터	콜봇상담	자연스러운 대화	질문 유형에 맞는 답변 스타일
TD	고객센터	콜봇상담	자연스러운 대화	부적절/무의미 대화 처리
TD	고객센터	콜봇상담	자연스러운 대화	대화 시작/종료의 자연스러움
TD	고객센터	콜봇상담	상담원 연결 원활성	상담원 연결 요청의 신속 인식
TD	고객센터	콜봇상담	상담원 연결 원활성	연결 임박 시 대화 내용 전달
TD	고객센터	콜봇상담	상담원 연결 원활성	상담원 연결 옵션의 명확한 고지
TD	고객센터	콜봇상담	상담원 연결 원활성	콜봇 처리 후 상담원 연결 대기열 진입
TD	고객센터	콜봇상담	상담원 연결 원활성	상담원 연결 요청 반복 발생 시 우선 연결
TD	상품	투자성	상품 가입 편리성	적합성 진단 절차의 간소화
TD	상품	투자성	상품 가입 편리성	비대면 가입의 서류/절차 자동화
TD	상품	투자성	상품 가입 편리성	가입 후 청약철회/취소 편의성
TD	상품	투자성	상품 가입 편리성	분할/자동 매수 설정 편의성
TD	상품	투자성	상품 가입 편리성	투자 관련 계좌 개설의 일괄 처리
TD	상품	보장성	상품정보 이해용이성	복잡한 보험 약관의 순화 설명
TD	상품	보장성	상품정보 이해용이성	주요 내용 요약 자료 제공
TD	상품	보장성	상품정보 이해용이성	불완전 판매 방지 교육/안내
TD	상품	보장성	상품정보 이해용이성	모바일 기반 맞춤형 상품 정보 탐색
TD	상품	보장성	상품정보 이해용이성	의무 설명 사항의 완전한 이행
TD	상품	보장성	상품관리 편의성	모바일 앱을 통한 계약 정보 조회
TD	상품	보장성	상품관리 편의성	보험료 납입 일시 중지/변경 간편성
TD	상품	보장성	상품관리 편의성	보험금 청구의 비대면 간편화
TD	상품	보장성	상품관리 편의성	보험금 지급 심사 진행 안내
TD	상품	보장성	상품관리 편의성	납입 증명서 등 서류의 즉시 발급
TD	상품	해외송금	환율의 적정성	송금 목적별 환율 우대 수준
TD	상품	해외송금	환율의 적정성	실시간 환율 정보의 정확성
TD	상품	해외송금	환율의 적정성	환율 변동에 대한 알림 기능
TD	상품	해외송금	환율의 적정성	환율 우대 조건의 단순성
TD	상품	해외송금	환율의 적정성	외화 계좌 보유 시 적용 환율
TD	상품	해외송금	서비스정보 이해용이성	총 소요 비용의 명확한 사전 고지
TD	상품	해외송금	서비스정보 이해용이성	송금 방식(예: SWIFT/전용망)의 쉬운 설명
TD	상품	해외송금	서비스정보 이해용이성	송금 관련 법규/한도 정보의 명확성
TD	상품	해외송금	서비스정보 이해용이성	송금 후 외화 계좌/원화 계좌 반영 안내
TD	상품	해외송금	서비스정보 이해용이성	유의사항 및 취소 절차의 명확성
BU	고객센터	보이는ARS	메뉴구성 적절성	메뉴 깊이의 최적화
BU	고객센터	보이는ARS	메뉴구성 적절성	최다 이용 메뉴의 초기 배치
BU	고객센터	보이는ARS	메뉴구성 적절성	화면 내 메뉴 수량의 적정성
BU	고객센터	보이는ARS	메뉴구성 적절성	상담원 연결 버튼의 가시성
BU	고객센터	보이는ARS	메뉴구성 적절성	이전/메인 화면 복귀 편의성
BU	고객센터	보이는ARS	메뉴구성 개인화	최근 이용 메뉴의 우선 노출
BU	고객센터	보이는ARS	메뉴구성 개인화	주요 메뉴 우선 배치 적절성
BU	고객센터	보이는ARS	메뉴구성 개인화	금융 거래 패턴 기반 메뉴 제공
BU	고객센터	보이는ARS	메뉴구성 개인화	개인 계좌 정보의 명확한 제시
BU	고객센터	보이는ARS	메뉴구성 개인화	선호 메뉴 설정 기능 제공
BU	고객센터	보이는ARS	메뉴명의 명확성	직관적이고 쉬운 메뉴명 사용
BU	고객센터	보이는ARS	메뉴명의 명확성	메뉴명 길이의 적정성
BU	고객센터	보이는ARS	메뉴명의 명확성	메뉴명과 실제 업무의 일치
BU	고객센터	보이는ARS	메뉴명의 명확성	핵심 키워드의 명확한 포함
BU	고객센터	보이는ARS	메뉴명의 명확성	이콘과 메뉴명의 일치성
BU	고객센터	보이는ARS	메뉴이동의 신속성	화면 로딩 속도의 안정성
BU	고객센터	보이는ARS	메뉴이동의 신속성	터치 입력 후 시스템 응답 속도
BU	고객센터	보이는ARS	메뉴이동의 신속성	잦은 오류 및 튕김 현상 방지
BU	고객센터	보이는ARS	메뉴이동의 신속성	통신 환경에 따른 속도 최적화
BU	고객센터	보이는ARS	메뉴이동의 신속성	불필요한 음성 안내의 생략
BU	고객센터	챗봇상담	UI 심미성	대화창 디자인의 깔끔함
BU	고객센터	챗봇상담	UI 심미성	답변 메시지의 시각적 구성
BU	고객센터	챗봇상담	UI 심미성	메뉴/버튼의 직관성
BU	고객센터	챗봇상담	UI 심미성	가상 인물의 친근감
BU	고객센터	챗봇상담	UI 심미성	텍스트 가독성 및 폰트 크기
BU	고객센터	콜봇상담	음성품질 안정성	콜봇 음성의 명료성 및 음질
BU	고객센터	콜봇상담	음성품질 안정성	음성 합성(TTS)의 자연스러움
BU	고객센터	콜봇상담	음성품질 안정성	고객 발화의 음성 인식 정확도
BU	고객센터	콜봇상담	음성품질 안정성	배경 소음 및 통화 환경 대응
BU	고객센터	콜봇상담	음성품질 안정성	음성 안내 속도의 적정성
BU	고객센터	콜봇상담	의도파악 정확성	복합/모호 질문 처리 능력
BU	고객센터	콜봇상담	의도파악 정확성	사투리 및 억양 처리 능력
BU	고객센터	콜봇상담	의도파악 정확성	동의어 및 축약어 처리 능력
BU	고객센터	콜봇상담	의도파악 정확성	연속 대화의 맥락 유지
BU	고객센터	콜봇상담	의도파악 정확성	불분명 의도에 대한 재확인
BU	고객센터	콜봇상담	답변 신속성	고객 발화 후 응답 소요 시간
BU	고객센터	콜봇상담	답변 신속성	지연 없는 연속 대화 처리
BU	고객센터	콜봇상담	답변 신속성	콜봇 성능 및 서버 안정성
BU	고객센터	콜봇상담	답변 신속성	답변 멘트 길이의 적정성
BU	고객센터	콜봇상담	답변 신속성	불필요한 음성/안내의 생략
BU	고객센터	콜봇상담	답변 정확성	문의 내용과의 일치도
BU	고객센터	콜봇상담	답변 정확성	최신 정보 및 규정 반영
BU	고객센터	콜봇상담	답변 정확성	답변 출처의 신뢰성 명확화
BU	고객센터	콜봇상담	답변 정확성	불가능한 요청에 대한 명확한 설명
BU	고객센터	콜봇상담	답변 정확성	관련 업무/대안 정보의 구두 제공
BU	고객센터	콜봇상담	자연스러운 대화	일상 언어 및 구어체
BU	고객센터	콜봇상담	자연스러운 대화	감성적 표현 및 공감 능력
BU	고객센터	콜봇상담	자연스러운 대화	질문 유형에 맞는 답변 스타일
BU	고객센터	콜봇상담	자연스러운 대화	부적절/무의미 대화 처리
BU	고객센터	콜봇상담	자연스러운 대화	대화 시작/종료의 자연스러움
BU	상품	저축성	이율의 적정성	시장 대비 경쟁 우위
BU	상품	저축성	이율의 적정성	우대 금리 조건의 달성 용이성
BU	상품	저축성	이율의 적정성	금리 변동 알림의 명확성
BU	상품	저축성	이율의 적정성	만기 시 이자 지급의 정확성
BU	상품	저축성	이율의 적정성	비과세/세금우대 혜택 안내
BU	상품	저축성	상품정보 이해용이성	핵심 정보의 시각적 강조
BU	상품	저축성	상품정보 이해용이성	전문 용어의 쉬운 설명
BU	상품	저축성	상품정보 이해용이성	상품 가입 전 시뮬레이션 제공
BU	상품	저축성	상품정보 이해용이성	상품설명서의 간결성 및 구조
BU	상품	저축성	상품정보 이해용이성	FAQ/챗봇을 통한 정보 제공
BU	상품	저축성	상품 가입 편리성	가입 절차의 간소화
BU	상품	저축성	상품 가입 편리성	서류 제출/인증 방식의 간편화
BU	상품	저축성	상품 가입 편리성	가입소요시간 최소화
BU	상품	저축성	상품 가입 편리성	가입 후 처리 알림의 명확성
BU	상품	저축성	상품 가입 편리성	타 상품 연계 가입 편의성
BU	상품	저축성	상품조건의 적절성	가입 대상의 명확성
BU	상품	저축성	상품조건의 적절성	최소/최대 납입 금액의 현실성
BU	상품	저축성	상품조건의 적절성	만기 및 기간 옵션의 다양성
BU	상품	저축성	상품조건의 적절성	중도 해지/변경의 용이성
BU	상품	저축성	상품조건의 적절성	긴급 출금/대출 기능 제공
BU	상품	저축성	부가서비스의 적합성	재테크 목표 관리 기능
BU	상품	저축성	부가서비스의 적합성	상품 연계 소비 혜택
BU	상품	저축성	부가서비스의 적합성	금융 교육/정보 제공
BU	상품	저축성	부가서비스의 적합성	자동 재예치/만기 알림 편의성
BU	상품	저축성	부가서비스의 적합성	비금융 제휴 서비스 제공
BU	상품	저축성	예적금상품 다양성	목적별 상품 구성
BU	상품	저축성	예적금상품 다양성	우대 조건의 다양한 선택지
BU	상품	저축성	예적금상품 다양성	혁신적인 저축 방식 제공
BU	상품	저축성	예적금상품 다양성	모바일 전용 상품의 경쟁력
BU	상품	저축성	예적금상품 다양성	파킹 통장 등 유동성 상품
BU	상품	여신성	상품정보 이해용이성	금리 및 상환 조건의 시각적 강조
BU	상품	여신성	상품정보 이해용이성	전문 용어의 순화 및 설명
BU	상품	여신성	상품정보 이해용이성	대출 조건 비교 및 시뮬레이션
BU	상품	여신성	상품정보 이해용이성	상품 약관/설명서의 간결성
BU	상품	여신성	상품정보 이해용이성	대출 실행 후 조건 재확인 편의성
BU	상품	여신성	금리의 적정성	대출 금리 결정의 투명성
BU	상품	여신성	금리의 적정성	시장 대비 금리 경쟁력
BU	상품	여신성	금리의 적정성	고객 맞춤상품 중 최저 금리 안내
BU	상품	여신성	금리의 적정성	금리 변동 시 알림 및 안내
BU	상품	여신성	금리의 적정성	연체 금리 산정의 명확성
BU	상품	여신성	신청 편의성 및 심사/승인의 신속성	비대면 신청 절차의 간소화
BU	상품	여신성	신청 편의성 및 심사/승인의 신속성	서류 제출/징구의 자동화
BU	상품	여신성	신청 편의성 및 심사/승인의 신속성	심사 및 승인 결정의 신속성
BU	상품	여신성	신청 편의성 및 심사/승인의 신속성	심사 과정의 투명한 안내
BU	상품	여신성	신청 편의성 및 심사/승인의 신속성	심사 거절 사유의 명확한 고지
BU	상품	여신성	금리인하 조건의 적절성	우대 금리 조건 달성 용이성
BU	상품	여신성	금리인하 조건의 적절성	우대 금리 조건 안내 명확성
BU	상품	여신성	금리인하 조건의 적절성	우대 금리 적용 결과 체감 가능성
