채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 기능성,오픈뱅킹 기반 타은행 계좌 통합조회·이체,타은행 계좌를 한 앱에서 조회·이체하는 구체 기능은 고객이 명시적으로 사용하는 핵심 기능입니다.,20250408,QSN000000000003080,TAR000000006274553,ITM000000000001331,"타은행계좌를 모두관리할수있어서
편리합니다"
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 기능성,오픈뱅킹 기반 타은행 계좌 통합조회·이체,타은행 계좌를 한 앱에서 조회·이체하는 구체 기능은 고객이 명시적으로 사용하는 핵심 기능입니다.,20250701,QSN000000000003080,TAR000000007819254,ITM000000000001331,메인 거래은행 계좌로 타 금융기관의 내 계좌와 연결하여 이용중이다
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 기능성,오픈뱅킹 기반 타은행 계좌 통합조회·이체,타은행 계좌를 한 앱에서 조회·이체하는 구체 기능은 고객이 명시적으로 사용하는 핵심 기능입니다.,20250716,QSN000000000003080,TAR000000008198160,ITM000000000001331,이체경험이 없음. 타은행에서 오픈뱅킹으로만 사용
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 기능성,오픈뱅킹 기반 타은행 계좌 통합조회·이체,타은행 계좌를 한 앱에서 조회·이체하는 구체 기능은 고객이 명시적으로 사용하는 핵심 기능입니다.,20250813,QSN000000000003080,TAR000000008843938,ITM000000000001331,전 은행이체을 한곳에서  할수있어서입니다~^^
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 기능성,오픈뱅킹 기반 타은행 계좌 통합조회·이체,타은행 계좌를 한 앱에서 조회·이체하는 구체 기능은 고객이 명시적으로 사용하는 핵심 기능입니다.,20251229,QSN000000000003080,TAR000000011740718,ITM000000000001331,오픈벵킹도 편리하고 여기저기 은행 안다녀도 거래를 할수 있다
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 기능성,오픈뱅킹 기반 타은행 계좌 통합조회·이체,타은행 계좌를 한 앱에서 조회·이체하는 구체 기능은 고객이 명시적으로 사용하는 핵심 기능입니다.,20260114,QSN000000000003187,TAR000000012105072,ITM000000000001331,다른 계좌에 있는 잔액을 쉽게 한 곳으로 모을 수 있어서 편리하고 내가 거래중인 타 은행의 예금도 한 눈에 볼 수 있어서..
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 기능성,오픈뱅킹 기반 타은행 계좌 통합조회·이체,타은행 계좌를 한 앱에서 조회·이체하는 구체 기능은 고객이 명시적으로 사용하는 핵심 기능입니다.,20260213,QSN000000000003187,TAR000000012868443,ITM000000000001331,다양한 은행 계좌를 통합 관리 할 수 있어 편리하다.
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,타은행 계좌 간편 연결(연동) 절차,타은행 계좌를 쉽게 연결하는 절차는 화면 동선과 단계 적정성에 직결되는 구체 기능입니다.,20250411,QSN000000000003080,TAR000000006344049,ITM000000000001331,쉽게 보고 다른 은행계좌 역시 쉽게 연결할수있어 편함
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,타은행 계좌 간편 연결(연동) 절차,타은행 계좌를 쉽게 연결하는 절차는 화면 동선과 단계 적정성에 직결되는 구체 기능입니다.,20250701,QSN000000000003080,TAR000000007819254,ITM000000000001331,메인 거래은행 계좌로 타 금융기관의 내 계좌와 연결하여 이용중이다
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,타은행 계좌 간편 연결(연동) 절차,타은행 계좌를 쉽게 연결하는 절차는 화면 동선과 단계 적정성에 직결되는 구체 기능입니다.,20250716,QSN000000000003080,TAR000000008198160,ITM000000000001331,이체경험이 없음. 타은행에서 오픈뱅킹으로만 사용
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,타은행 계좌 간편 연결(연동) 절차,타은행 계좌를 쉽게 연결하는 절차는 화면 동선과 단계 적정성에 직결되는 구체 기능입니다.,20250813,QSN000000000003080,TAR000000008843938,ITM000000000001331,전 은행이체을 한곳에서  할수있어서입니다~^^
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 다양성,타은행 통장 모으기(모으기 서비스),‘모으기’와 ‘보내기/모으기’는 이체 옵션을 확장하는 고유 서비스로 고객이 직접 명명합니다.,20250716,QSN000000000003080,TAR000000008193296,ITM000000000001331,타은행통장도 모으기하여 사용할수 있어서 너무 편리함
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 다양성,타은행 통장 모으기(모으기 서비스),‘모으기’와 ‘보내기/모으기’는 이체 옵션을 확장하는 고유 서비스로 고객이 직접 명명합니다.,20250721,QSN000000000003080,TAR000000008241354,ITM000000000001331,모으기 기능이 굉장히 편리함 이게 제일 맘에 들어요
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 다양성,타은행 통장 모으기(모으기 서비스),‘모으기’와 ‘보내기/모으기’는 이체 옵션을 확장하는 고유 서비스로 고객이 직접 명명합니다.,20260219,QSN000000000003187,TAR000000012903154,ITM000000000001331,타은행계좌통합 보내기 모으기 서비스가 쉽고 간편해서
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 기능성,계좌번호 복사 시 은행 자동 식별,계좌번호만으로 은행을 자동 인식하는 구체 기능은 입력 편의 기능으로 직접 언급되었습니다.,20250416,QSN000000000003080,TAR000000006419898,ITM000000000001331,계좌번호 복사하면 자동으로 은행을 찾아줘서 편합니다
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 기능성,계좌번호 복사 시 은행 자동 식별,계좌번호만으로 은행을 자동 인식하는 구체 기능은 입력 편의 기능으로 직접 언급되었습니다.,20250214,QSN000000000003080,TAR000000005326071,ITM000000000001331,계좌번호만 입력해도 은행이 자동으로 확인되는점이 편하다
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,메시지 복사 내용 로그인 후 즉시 붙여넣기,로그인 직후 붙여넣기 가능한 동선은 과업 시작 단계의 흐름 최적화 기능입니다.,20250407,QSN000000000003080,TAR000000006248713,ITM000000000001331,문자에서 복사 기능 사용하면 로그인후 즉시 붙여넣기 되어 편리함
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,메시지 복사 내용 로그인 후 즉시 붙여넣기,로그인 직후 붙여넣기 가능한 동선은 과업 시작 단계의 흐름 최적화 기능입니다.,20250415,QSN000000000003080,TAR000000006400089,ITM000000000001331,복사 붙여넣기가 잘 되지 않았던거 같은데 요즘엔 잘 사용하지 않아서 정확하겐 모르겠습니다
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 다양성,전화 이체 입금 무료,전화 채널을 통한 이체 및 수수료 정책은 이체 수단의 다양화로 고객이 명시합니다.,20250221,QSN000000000003080,TAR000000005459589,ITM000000000001331,"전화로이체입금할수있는점이
조아요~~무료인점도편해요"
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 기능성,이체 입력란 복사/붙여넣기 지원,이름·사유 등의 입력값을 복붙 지원하는 기능은 이체 입력 편의를 직접 개선합니다.,20250507,QSN000000000003080,TAR000000006702396,ITM000000000001331,이체 후에도 따로 메모를 달 수 있는 것도 편하고 뭐 이체할 때 이름이나 사유를 카피&amp;페이스트에서 쓸 수 있어서 좋습니다.
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 기능성,이체 입력란 복사/붙여넣기 지원,이름·사유 등의 입력값을 복붙 지원하는 기능은 이체 입력 편의를 직접 개선합니다.,20250728,QSN000000000003080,TAR000000008431600,ITM000000000001331,"복사하고 붙여넣기가 안되는 곳도 있는데, 굉장히 편리합니다. 특히나 여러화면을 동시에 띄울 수 없는 휴대폰은 더 그러하죠"
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 결과 안내의 적절성,이체 완료 후 메모 추가,거래 완료 단계에서 메모를 남기는 기능은 사후 안내/기록의 적절성에 해당합니다.,20250507,QSN000000000003080,TAR000000006702396,ITM000000000001331,이체 후에도 따로 메모를 달 수 있는 것도 편하고 뭐 이체할 때 이름이나 사유를 카피&amp;페이스트에서 쓸 수 있어서 좋습니다.
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 기능성,계좌정보 실시간 업데이트 반영,변경·해지 등의 정보를 즉시 반영하는 실시간 업데이트는 조회 기능 신뢰성과 직결됩니다.,20250502,QSN000000000003080,TAR000000006665358,ITM000000000001331,제가 뱅크샐러드도 같이 사용하는데 뱅크샐러드는 계좌 해지해도 바로 반영이 안됩니다. 이번에 국민은행 앱으로 예금 가입했는데 이틀이 지나도 반영이 안되고 밤 11시반부터 12시반까지 사용이 아예 안됨(업데이트 안됨) 근데 KB앱은 바로바로 반영되고 바로바로 체크됨 속시원함
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 기능성,계좌정보 실시간 업데이트 반영,변경·해지 등의 정보를 즉시 반영하는 실시간 업데이트는 조회 기능 신뢰성과 직결됩니다.,20250721,QSN000000000003080,TAR000000008253440,ITM000000000001331,현재 계좌정보가 업데이트가 안되고 없어진 계좌가 뜨는 등 오류가 있습니다
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 시인성,대출계좌 아이콘/이미지 표시,대출계좌의 시각적 표시는 계좌 식별 용이성을 높이는 화면 시인성 요소입니다.,20250702,QSN000000000003080,TAR000000007861287,ITM000000000001331,암튼 대출계좌 사용시 이전이미지를 가지고 있지못함
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,로그인 직후 홈/계좌조회 즉시 진입,로그인 후 핵심 화면로 바로 이동하는 동선은 과정 단축의 프로세스 적정성 개선입니다.,20251112,QSN000000000003080,TAR000000010750486,ITM000000000001331,앱 들어가자마자 로그인하면 바로 보이는게 편해요
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 시인성,사용량 상위 계좌/메뉴 강조 표시,이용 빈도 기반 강조 표시는 필요한 정보의 가시성을 높이는 화면 표시 기능입니다.,20251210,QSN000000000003080,TAR000000011383845,ITM000000000001331,사용량이 많은 사람을 따로 표시해주는 점이 좋습니다.
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,홈 화면 편집을 통한 조회/이체 빠른 실행,홈 편집으로 진입을 단축하는 기능은 실행 동선 최적화에 직접 기여합니다.,20260128,QSN000000000003187,TAR000000012428787,ITM000000000001331,홈 화면 편집으로 개인에게 맞는 서비스 유형으로빠르게 실행함
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 보안성,간편로그인 기반 계좌조회 접근,간편로그인은 인증을 통한 안전한 접근 경험 요소로 보안성과 직결됩니다.,20260106,QSN000000000003187,TAR000000011855747,ITM000000000001331,몇년이 지났어도 쉽게 확인할수 았었어요.간편로고인도 쉽고요.교환안내써비스 정신도 훌륭해요.칭찬해요
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 보안성,간편로그인 기반 계좌조회 접근,간편로그인은 인증을 통한 안전한 접근 경험 요소로 보안성과 직결됩니다.,20260203,QSN000000000003187,TAR000000012525524,ITM000000000001331,"로그인이 편안하고 깔끔하고, 대체로 이렇게 이렇게 하는 로그인 방법이 너무 좋아요"
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 다양성,심야 시간 이체 가능(밤 2시 포함),심야 시간에도 가능한 이체는 제공 시간 옵션 확장으로 이체 선택지를 넓힙니다.,20260120,QSN000000000003187,TAR000000012232657,ITM000000000001331,수수료가 없고 밤ㅣ2시에도 이체 가능해서 좋습니다
